,ticker,2022-05-31,2021-05-31,2020-05-31,2019-05-31
Cash and cash equivalents(figures in $M),NKE,8574.0,9889.0,8348.0,4466.0
Other short-term investments(figures in $M),NKE,4423.0,3587.0,439.0,197.0
Total cash(figures in $M),NKE,12997.0,13476.0,8787.0,4663.0
Net receivables(figures in $M),NKE,4667.0,4463.0,2749.0,4272.0
Inventory(figures in $M),NKE,8420.0,6854.0,7367.0,5622.0
Other current assets(figures in $M),NKE,2129.0,1498.0,1653.0,1968.0
Total current assets(figures in $M),NKE,28213.0,26291.0,20556.0,16525.0
"Gross property, plant and equipment(figures in $M)",NKE,7717.0,8017.0,7963.0,4744.0
Accumulated depreciation(figures in $M),NKE,-5306.0,-5157.0,-4795.0,-4725.0
"Net property, plant and equipment(figures in $M)",NKE,7717.0,8017.0,7963.0,4744.0
Goodwill(figures in $M),NKE,284.0,242.0,223.0,154.0
Intangible assets(figures in $M),NKE,286.0,269.0,274.0,283.0
Other long-term assets(figures in $M),NKE,3821.0,2921.0,2326.0,2011.0
Total non-current assets(figures in $M),NKE,12108.0,11449.0,10786.0,7192.0
Total assets(figures in $M),NKE,40321.0,37740.0,31342.0,23717.0
Current debt(figures in $M),NKE,510.0,2.0,251.0,15.0
Accounts payable(figures in $M),NKE,3358.0,2836.0,2248.0,2612.0
Taxes payable(figures in $M),NKE,222.0,306.0,156.0,229.0
Accrued liabilities(figures in $M),NKE,6220.0,6063.0,5184.0,5010.0
Other current liabilities(figures in $M),NKE,0.0,0.0,336.0,341.0
Total current liabilities(figures in $M),NKE,10730.0,9674.0,8284.0,7866.0
Long-term debt(figures in $M),NKE,8920.0,9413.0,9406.0,3464.0
Deferred tax liabilities(figures in $M),NKE,2613.0,2955.0,2684.0,3347.0
Other long-term liabilities(figures in $M),NKE,2613.0,2955.0,2684.0,3347.0
Total non-current liabilities(figures in $M),NKE,14310.0,15299.0,15003.0,6811.0
Total liabilities(figures in $M),NKE,25040.0,24973.0,23287.0,14677.0
Common stock(figures in $M),NKE,3.0,3.0,0.0,0.0
Retained earnings(figures in $M),NKE,3476.0,3179.0,-191.0,1643.0
Accumulated other comprehensive income(figures in $M),NKE,318.0,-380.0,-56.0,231.0
Total stockholders' equity(figures in $M),NKE,15281.0,12767.0,8055.0,9040.0
Total liabilities and stockholders' equity(figures in $M),NKE,40321.0,37740.0,31342.0,23717.0
