,ticker,ttm,2022-05-31,2021-05-31,2020-05-31,2019-05-31
Total revenue(figures in $M),NKE,50626.0,46710.0,44538.0,37403.0,39117.0
Cost of revenue(figures in $M),NKE,28426.0,25231.0,24576.0,21162.0,21643.0
Gross profit(figures in $M),NKE,22200.0,21479.0,19962.0,16241.0,17474.0
Selling general and administrative(figures in $M),NKE,14983.0,14804.0,13025.0,13126.0,12702.0
Total operating expenses(figures in $M),NKE,16038.0,14804.0,13025.0,13126.0,12702.0
Operating income or loss(figures in $M),NKE,6162.0,6675.0,6937.0,3115.0,4772.0
Total other income/expenses net(figures in $M),NKE,229.0,181.0,-14.0,-139.0,78.0
Income before tax(figures in $M),NKE,6329.0,6651.0,6661.0,2887.0,4801.0
Income tax expense(figures in $M),NKE,851.0,605.0,934.0,348.0,772.0
Income from continuing operations(figures in $M),NKE,5478.0,6046.0,5727.0,2539.0,4029.0
Net income(figures in $M),NKE,5478.0,6046.0,5727.0,2539.0,4029.0
Net income available to common shareholders(figures in $M),NKE,5478.0,6046.0,5727.0,2539.0,4029.0
Basic EPS(figures in $M),NKE,,3.83e-06,3.6400000000000003e-06,1.6299999999999999e-06,2.5499999999999997e-06
Diluted EPS(figures in $M),NKE,,3.75e-06,3.5600000000000002e-06,1.6000000000000001e-06,2.4900000000000003e-06
Basic average shares(figures in $M),NKE,,1578.8,1573.0,1558.8,1579.7
Diluted average shares(figures in $M),NKE,,1610.8,1609.4,1591.6,1618.4
EBITDA(figures in $M),NKE,,6675.0,6937.0,3115.0,4772.0
