,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),NRG,430.0,250.0,3905.0,345.0
Total cash(figures in $M),NRG,430.0,250.0,3905.0,345.0
Net receivables(figures in $M),NRG,4773.0,3245.0,904.0,1025.0
Inventory(figures in $M),NRG,751.0,498.0,327.0,383.0
Total current assets(figures in $M),NRG,16231.0,10841.0,6028.0,3088.0
"Gross property, plant and equipment(figures in $M)",NRG,1917.0,1959.0,2848.0,4809.0
Accumulated depreciation(figures in $M),NRG,-1478.0,-1308.0,-1936.0,-1752.0
"Net property, plant and equipment(figures in $M)",NRG,1917.0,1959.0,2848.0,3057.0
Equity and other investments(figures in $M),NRG,971.0,1165.0,1236.0,1182.0
Goodwill(figures in $M),NRG,1650.0,1795.0,579.0,579.0
Intangible assets(figures in $M),NRG,2132.0,2511.0,668.0,789.0
Other long-term assets(figures in $M),NRG,256.0,229.0,216.0,240.0
Total non-current assets(figures in $M),NRG,12915.0,12341.0,8874.0,9443.0
Total assets(figures in $M),NRG,29146.0,23182.0,14902.0,12531.0
Current debt(figures in $M),NRG,63.0,4.0,1.0,88.0
Accounts payable(figures in $M),NRG,3643.0,2274.0,649.0,722.0
Accrued liabilities(figures in $M),NRG,1290.0,1324.0,678.0,663.0
Other current liabilities(figures in $M),NRG,7903.0,4232.0,518.0,813.0
Total current liabilities(figures in $M),NRG,12982.0,7915.0,1915.0,2359.0
Long-term debt(figures in $M),NRG,7976.0,7966.0,8691.0,5803.0
Deferred tax liabilities(figures in $M),NRG,134.0,73.0,19.0,17.0
Other long-term liabilities(figures in $M),NRG,983.0,993.0,1066.0,1084.0
Total non-current liabilities(figures in $M),NRG,12336.0,11667.0,11307.0,8494.0
Total liabilities(figures in $M),NRG,25318.0,19582.0,13222.0,10853.0
Common stock(figures in $M),NRG,4.0,4.0,4.0,4.0
Retained earnings(figures in $M),NRG,1408.0,464.0,-1403.0,-1616.0
Accumulated other comprehensive income(figures in $M),NRG,-177.0,-126.0,-206.0,-192.0
Total stockholders' equity(figures in $M),NRG,3828.0,3600.0,1680.0,1658.0
Total liabilities and stockholders' equity(figures in $M),NRG,29146.0,23182.0,14902.0,12531.0
