,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NRG,"25,802","26,508","26,589","15,539",-
Dividend,NRG,1.51,1.63,1.76,1.90,-
Dividend Yield (in %),NRG,4.79 %,5.17 %,5.58 %,6.02 %,-
EPS,NRG,4.59,5.10,6.25,9.04,-
P/E Ratio,NRG,6.84,6.16,5.03,3.47,-
EBIT(In $M),NRG,"2,321","1,677","1,652",-,-
EBITDA(In $M),NRG,"2,829","2,957","3,028","3,101","3,109"
Net Profit(In $M),NRG,"1,321","1,052","1,114","1,390",-
Net Profit Adjusted(In $M),NRG,"1,515","1,208","1,347","1,390",-
Pre-Tax Profit(In $M),NRG,"1,210","1,167","1,148","1,862",-
Net Profit (Adjusted)(In $M),NRG,"1,210","1,167","1,148",-,-
EPS (Non-GAAP) ex. SOE(In $),NRG,4.59,5.10,6.25,9.04,-
EPS (GAAP)(In $),NRG,6.43,7.06,5.26,-,-
Gross Income(In $M),NRG,"3,541","3,535","3,515",-,-
Cash Flow from Investing(In $M),NRG,"-3,715",-725,-725,-725,-
Cash Flow from Operations(In $M),NRG,"2,170","2,392","2,575","2,641",-
Cash Flow from Financing(In $M),NRG,"1,050","-1,213","-1,208",-418,-
Cash Flow per Share(In $),NRG,9.39,11.10,-,-,-
Free Cash Flow(In $M),NRG,"1,796","2,030","2,184","2,157",-
Free Cash Flow per Share(In $),NRG,7.52,9.06,10.95,14.02,-
Book Value per Share(In $),NRG,18.21,18.67,19.34,-,-
Net Debt(In $M),NRG,"9,533","9,148","8,243","8,939",-
Research & Development Exp.(In $M),NRG,-,-,-,-,-
Capital Expenditure(In $M),NRG,"3,094",710,670,670,-
"Selling, General & Admin. Exp.(In $M)",NRG,"1,064","1,064","1,064","1,064",-
Shareholder’s Equity(In $M),NRG,"7,100","7,454","7,856","8,339",-
Total Assets(In $M),NRG,"31,433","30,772","31,162","31,642",-
