,headline,final_score,datetime
0,BMO Capital Sticks to Their Hold Rating for NRG Energy (NRG),86,2023-05-05 00:16:00
1,Q1 2023 NRG Energy Inc Earnings Call,86,2023-05-04 19:42:05
2,"NRG Energy (NRG) Q1 Earnings Lag Estimates, Revenues Fall Y/Y",86,2023-05-04 09:16:04
3,"NRG Energy, Inc. 2023 Q1 - Results - Earnings Call Presentation",90,2023-05-04 07:13:49
4,NRG Energy (NRG) Q1 Earnings and Revenues Miss Estimates,86,2023-05-04 05:35:12
5,"NRG Energy, Inc. (NRG) Q1 2023 Earnings Call Transcript",90,2023-05-04 05:17:11
6,"NRG Energy, Inc. Reports First Quarter 2023 Results",90,2023-05-04 04:10:00
7,NRG: Q1 Earnings Snapshot,86,2023-05-04 00:27:00
8,Clearway Energy: Q1 Earnings Snapshot,86,2023-05-03 23:27:00
9,NRG Energy reports mixed Q1 earnings; updates FY23 outlook,86,2023-05-03 23:27:00
10,NRG Energy Inc. stock underperforms Thursday when compared to competitors,86,2023-05-03 21:18:00
11,NRG Energy falls almost 6% after reporting quarterly results,86,2023-05-03 19:33:00
12,"NRG Energy sinks after swinging to Q1 net loss on gas, power hedges",86,2023-05-03 18:59:00
13,"NRG Energy Inc. stock rises Wednesday, outperforms market",86,2023-05-03 10:14:00
14,"NRG Energy Inc. stock falls Tuesday, underperforms market",86,2023-05-02 10:13:00
15,"NRG Energy Inc. stock falls Monday, underperforms market",86,2023-05-01 10:13:00
16,NRG Energy (NRG) to Post Q1 Earnings: What's in the Cards?,86,2023-05-01 05:11:12
17,NRG Energy Inc. stock outperforms market on strong trading day,86,2023-04-28 10:13:00
19,NRG Energy (NRG) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,86,2023-04-27 07:02:02
20,Bank of America Securities Remains a Buy on NRG Energy (NRG),86,2023-04-26 23:06:00
21,NRG Energy (NRG) Dips More Than Broader Markets: What You Should Know,86,2023-04-26 15:00:10
22,NRG Energy Inc. stock underperforms Wednesday when compared to competitors,86,2023-04-26 10:13:00
24,NRG Energy Inc. stock underperforms Tuesday when compared to competitors,86,2023-04-25 10:13:00
25,NRG Named `Top Dividend Stock of the Dow Utilities` at Dividend Channel With 4.3% Yield,86,2023-04-24 23:31:00
26,NRG Says It Would Build New Gas Plants If Texas Approves Payouts,86,2023-04-24 13:53:59
27,"NRG Energy Inc. stock rises Monday, outperforms market",86,2023-04-24 10:13:00
28,Why NRG Energy (NRG) is a Great Dividend Stock Right Now,86,2023-04-24 08:45:03
29,NRG Energy's (NYSE:NRG) Upcoming Dividend Will Be Larger Than Last Year's,86,2023-04-23 05:24:38
30,"NRG Energy Inc. stock falls Friday, underperforms market",86,2023-04-21 10:13:00
31,NRG Energy (NRG) Declares $0.38 Dividend,86,2023-04-20 18:47:06
32,Morgan Stanley Maintains NRG Energy (NRG) Equal-Weight Recommendation,86,2023-04-20 15:00:20
33,"NRG Energy Inc. stock falls Thursday, underperforms market",86,2023-04-20 10:13:00
34,"NRG Energy, Inc. to Report First Quarter 2023 Financial Results on May 4, 2023",90,2023-04-20 05:40:00
35,"NRG Energy, Inc. Announces Quarterly Dividend",90,2023-04-19 15:32:00
36,NRG Energy (NRG) Stock Sinks As Market Gains: What You Should Know,86,2023-04-18 15:15:10
37,Constellation Energy price target lowered to $81 from $88 at BofA,86,2023-04-18 01:13:00
39,NRG Energy Inc. stock underperforms Monday when compared to competitors,86,2023-04-16 21:14:00
41,NRG Energy Inc. stock underperforms Friday when compared to competitors,86,2023-04-13 21:14:00
42,"NRG Energy Inc. stock rises Thursday, still underperforms market",86,2023-04-13 10:13:00
43,"PCG, NRG: 2 Utilities Stocks Worth Your Attention",86,2023-04-12 23:32:00
44,NRG Energy (NRG) Gains As Market Dips: What You Should Know,86,2023-04-12 15:15:10
47,NRG Energy (NRG) Could Be a Great Choice,86,2023-04-07 08:45:03
48,NRG Energy (NRG) Outpaces Stock Market Gains: What You Should Know,86,2023-04-06 14:50:09
49,NRG Energy Inc. stock outperforms competitors despite losses on the day,86,2023-04-03 10:12:00
50,NRG Energy Inc. stock outperforms competitors on strong trading day,86,2023-03-31 10:16:00
52,NRG Energy Is Near An Attractive Price,86,2023-03-28 01:58:22
53,Billionaire Money Managers Keep Buying These Incredibly Cheap High-Yield Dividend Stocks,54,2023-03-27 06:15:00
55,"NRG Energy Inc. stock rises Friday, outperforms market",86,2023-03-24 10:12:00
56,"NRG and the City of Houston Join Forces to Plant 100,000 Trees Across the City",86,2023-03-24 02:00:00
57,Recipients of NRG’s Annual Chairman's Scholarship,86,2023-03-23 07:15:00
58,Recipients of NRG`s Annual Chairman`s Scholarship,86,2023-03-23 02:15:00
59,"NRG Energy Inc. stock falls Wednesday, underperforms market",86,2023-03-22 10:13:00
61,NRG Energy (NRG) to Gain From Acquisition Amid Supply Woes,86,2023-03-22 06:24:01
62,"Need To Know: Analysts Are Much More Bullish On NRG Energy, Inc. (NYSE:NRG) Revenues",90,2023-03-22 03:25:26
63,Empowering Others and Embracing Equity With the Women of NRG,86,2023-03-21 10:10:00
64,B of A Securities Upgrades NRG Energy (NRG),86,2023-03-20 21:07:49
65,NRG Energy stock charges higher to pace S&P 500 gainers after BofA turns bullish,86,2023-03-20 07:22:00
66,"Hot Stocks: AMZN dips on job cuts; PDD falls; NRG, THS get boost from analyst comments",86,2023-03-20 05:16:00
67,NRG Energy upped to Buy at BofA as investors underestimate earnings power,86,2023-03-20 03:13:00
68,NRG Energy upgraded to Buy at BofA following underperformance,86,2023-03-19 23:11:00
69,NRG Energy upgraded to Buy from Neutral at BofA,86,2023-03-19 23:03:00
70,NRG Energy (NRG) Stock Moves -0.41%: What You Should Know,86,2023-03-17 14:45:09
72,Interesting NRG Put And Call Options For May 19th,86,2023-03-17 03:27:00
75,"Texas Says NRG, Vistra Used Size to Raise Power Prices",86,2023-03-15 17:11:38
77,"NRG Completes Acquisition of Vivint Smart Home, Inc., Creating the Leading Essential Home Services Platform",86,2023-03-10 05:46:00
78,"Is NRG Energy, Inc. (NYSE:NRG) Potentially Undervalued?",90,2023-03-05 05:05:08
