,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),NSC,456.0,839.0,1115.0,580.0
Total cash(figures in $M),NSC,456.0,839.0,1115.0,580.0
Net receivables(figures in $M),NSC,1148.0,976.0,848.0,920.0
Inventory(figures in $M),NSC,253.0,218.0,221.0,244.0
Other current assets(figures in $M),NSC,150.0,134.0,134.0,337.0
Total current assets(figures in $M),NSC,2007.0,2167.0,2318.0,2081.0
"Gross property, plant and equipment(figures in $M)",NSC,44748.0,43684.0,43330.0,43596.0
Accumulated depreciation(figures in $M),NSC,-12592.0,-12031.0,-11985.0,-11982.0
"Net property, plant and equipment(figures in $M)",NSC,32156.0,31653.0,31345.0,31614.0
Equity and other investments(figures in $M),NSC,3694.0,3707.0,3590.0,3428.0
Intangible assets(figures in $M),NSC,0.0,0.0,-399.0,-388.0
Other long-term assets(figures in $M),NSC,1028.0,966.0,709.0,800.0
Total non-current assets(figures in $M),NSC,36878.0,36326.0,35644.0,35842.0
Total assets(figures in $M),NSC,38885.0,38493.0,37962.0,37923.0
Current debt(figures in $M),NSC,703.0,553.0,579.0,316.0
Accounts payable(figures in $M),NSC,1293.0,1351.0,1016.0,1428.0
Accrued liabilities(figures in $M),NSC,157.0,150.0,141.0,149.0
Other current liabilities(figures in $M),NSC,341.0,312.0,302.0,327.0
Total current liabilities(figures in $M),NSC,2649.0,2521.0,2160.0,2300.0
Long-term debt(figures in $M),NSC,14479.0,13287.0,12102.0,11880.0
Deferred tax liabilities(figures in $M),NSC,7265.0,7165.0,6922.0,6815.0
Deferred revenues(figures in $M),NSC,534.0,534.0,534.0,280.0
Other long-term liabilities(figures in $M),NSC,1759.0,1879.0,1987.0,1744.0
Total non-current liabilities(figures in $M),NSC,23503.0,22331.0,21011.0,20439.0
Total liabilities(figures in $M),NSC,26152.0,24852.0,23171.0,22739.0
Common stock(figures in $M),NSC,230.0,242.0,254.0,259.0
Retained earnings(figures in $M),NSC,10697.0,11586.0,12883.0,13207.0
Accumulated other comprehensive income(figures in $M),NSC,-351.0,-402.0,-594.0,-491.0
Total stockholders' equity(figures in $M),NSC,12733.0,13641.0,14791.0,15184.0
Total liabilities and stockholders' equity(figures in $M),NSC,38885.0,38493.0,37962.0,37923.0
