,ticker,sentiment
2023-04-09 20:29:00,NTAP,-0.296
2023-04-10 01:27:00,NTAP,0.5574
2023-04-10 03:03:00,NTAP,0.34
2023-04-10 04:09:00,NTAP,-0.296
2023-04-10 05:13:00,NTAP,0.2023
2023-04-11 00:30:00,NTAP,0.2023
2023-04-11 10:13:00,NTAP,-0.2584
2023-04-13 01:04:20,NTAP,0.34
2023-04-17 10:13:00,NTAP,0.5106
2023-04-19 22:38:00,NTAP,-0.5267
2023-04-19 23:53:00,NTAP,0.296
2023-04-20 14:02:24,NTAP,0.296
2023-04-22 17:22:39,NTAP,0.7096
2023-04-26 10:13:00,NTAP,-0.2584
2023-05-01 23:30:49,NTAP,0.6369
2023-05-03 10:14:00,NTAP,0.5106
