,headline,final_score,datetime
0,Nu Holdings Ltd. (NU) Gains As Market Dips: What You Should Know,90,2023-05-04 14:45:09
4,Nu Holdings Ltd. (NU) Stock Moves -0.19%: What You Should Know,90,2023-05-03 14:50:09
8,13 Best New Stocks To Invest In According To Hedge Funds,51,2023-04-28 05:02:15
9,Nu Holdings Ltd. (NU) Flat As Market Sinks: What You Should Know,90,2023-04-25 14:45:09
10,Nubank reaches the milestone of 80 million customers in Latin America,60,2023-04-25 06:41:00
11,Nu Holdings Announces Q1'23 Financial Results Conference Call Date,86,2023-04-25 06:30:00
12,Nu Holdings` Nubank crosses 80M customers in Latin America,86,2023-04-25 02:19:00
13,Nubank reports 80M customers in Latin America,60,2023-04-25 01:50:00
14,Nu Holdings: Bullish Into Accelerating Profitability,86,2023-04-20 05:50:13
15,"CleanSpark, Nu Holdings among financials gainers, United Insurance in losers",86,2023-04-18 04:04:00
16,Nu Holdings rises 6.7%,81,2023-04-18 04:01:00
17,Nu Holdings Ltd. (NU) Stock Moves -0.21%: What You Should Know,90,2023-04-14 14:50:09
18,13 Best Emerging Market Stocks to Buy According to Hedge Funds,54,2023-04-10 03:42:39
21,We Might See A Profit From Nu Holdings Ltd. (NYSE:NU) Soon,90,2023-04-03 03:03:54
23,Why Nu Holdings Stock Rose 15.3% This Week,86,2023-03-31 08:44:58
25,Why Fintech Stocks Nu Holdings and Block Popped Today,86,2023-03-27 15:26:08
27,"Nu Holdings: Disrupting The Traditional Banking Model With Impressive Growth, Strong Fundamentals",86,2023-03-19 04:03:00
31,Why Nu Holdings Topped the Market on Monday,86,2023-03-13 15:17:00
33,"Analysts Conflicted on These Technology Names: Virgin Galactic Holdings (SPCE), Bill.com Holdings (BILL) and Nu Holdings (NU)",60,2023-03-12 21:21:00
34,Bank of America Securities Remains a Hold on Nu Holdings (NU),86,2023-03-07 22:26:00
35,Why Nu Holdings Stock Jumped Today,86,2023-03-06 12:35:20
36,Nubank Appoints David Marcus to Board of Directors,60,2023-03-06 07:00:00
37,Nubank Names David Marcus to Board of Directors,60,2023-03-06 04:18:00
38,Nu Holdings: I'm Buying Buffett's FinTech Play,86,2023-03-06 02:52:07
39,Nu Holdings: I`m Buying Buffett`s FinTech Play,86,2023-03-06 01:58:00
40,Morgan Stanley Remains a Buy on Nu Holdings (NU),86,2023-03-05 20:36:00
