,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),NUE,4280.852,2364.858,2639.671,1534.605
Other short-term investments(figures in $M),NUE,576.946,253.005,408.004,300.04
Total cash(figures in $M),NUE,4857.798,2617.863,3047.675,1834.645
Net receivables(figures in $M),NUE,3591.03,3853.972,2298.85,2160.102
Inventory(figures in $M),NUE,5453.531,6011.182,3569.089,3842.095
Other current assets(figures in $M),NUE,789.325,316.54,573.048,389.528
Total current assets(figures in $M),NUE,14691.684,12799.557,9488.662,8226.37
"Gross property, plant and equipment(figures in $M)",NUE,20732.047,18504.467,16754.603,15594.782
Accumulated depreciation(figures in $M),NUE,-11115.127,-10389.649,-9855.493,-9416.227
"Net property, plant and equipment(figures in $M)",NUE,9616.92,8114.818,6899.11,6178.555
Goodwill(figures in $M),NUE,3920.06,2827.344,2229.672,2201.063
Intangible assets(figures in $M),NUE,3322.265,1103.759,668.021,742.186
Other long-term assets(figures in $M),NUE,928.281,977.594,839.929,996.492
Total non-current assets(figures in $M),NUE,17787.526,13023.515,10636.732,10118.296
Total assets(figures in $M),NUE,32479.21,25823.072,20125.394,18344.666
Current debt(figures in $M),NUE,77.663,723.401,68.791,91.708
Accounts payable(figures in $M),NUE,1649.523,1974.041,1432.159,1201.698
Accrued liabilities(figures in $M),NUE,2602.558,2459.971,1126.91,1170.368
Total current liabilities(figures in $M),NUE,4329.744,5157.413,2627.86,2463.774
Long-term debt(figures in $M),NUE,6613.687,4961.41,5271.789,4291.301
Total non-current liabilities(figures in $M),NUE,8579.56,6061.865,6265.673,5089.716
Total liabilities(figures in $M),NUE,12909.304,11219.278,8893.533,7553.49
Common stock(figures in $M),NUE,152.061,152.061,152.061,152.061
Retained earnings(figures in $M),NUE,24754.873,17674.1,11343.852,11115.056
Accumulated other comprehensive income(figures in $M),NUE,-137.517,-115.282,-118.861,-302.966
Total stockholders' equity(figures in $M),NUE,18414.694,14016.389,10788.665,10357.866
Total liabilities and stockholders' equity(figures in $M),NUE,32479.21,25823.072,20125.394,18344.666
