,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),NUE,41512.467,41512.467,36483.939,20139.658,22588.858
Cost of revenue(figures in $M),NUE,29009.187,29009.187,25458.525,17911.708,19909.773
Gross profit(figures in $M),NUE,12503.28,12503.28,11025.414,2227.95,2679.085
Selling general and administrative(figures in $M),NUE,1997.178,1997.178,1706.609,615.041,711.248
Total operating expenses(figures in $M),NUE,1997.178,1997.178,1706.609,615.041,711.248
Operating income or loss(figures in $M),NUE,10506.102,10506.102,9318.805,1612.909,1967.837
Interest expense(figures in $M),NUE,218.911,170.216,158.854,153.198,121.425
Total other income/expenses net(figures in $M),NUE,-91.042,-91.042,40.907,-624.173,-63.605
Income before tax(figures in $M),NUE,10244.844,10244.844,9200.858,835.538,1782.807
Income tax expense(figures in $M),NUE,2165.204,2165.204,2078.488,-0.49,411.897
Income from continuing operations(figures in $M),NUE,8079.64,8079.64,7122.37,836.028,1370.91
Net income(figures in $M),NUE,7607.337,7607.337,6827.461,721.47,1271.143
Net income available to common shareholders(figures in $M),NUE,7576.165,7607.337,6827.461,721.47,1271.143
Basic EPS(figures in $M),NUE,,2.8879999999999998e-05,2.323e-05,2.37e-06,4.139999999999999e-06
Diluted EPS(figures in $M),NUE,,2.879e-05,2.316e-05,2.36e-06,4.139999999999999e-06
Basic average shares(figures in $M),NUE,,262.348,292.491,303.168,305.04
Diluted average shares(figures in $M),NUE,,263.176,293.39,303.271,305.503
EBITDA(figures in $M),NUE,,11476.694,10224.275,1774.202,2638.885
