,2023,2022,2021,2020,2019,ticker
Current ratio,3.516,6.650,4.090,7.674,7.944,NVDA
Quick ratio,2.609,5.965,3.564,7.037,6.656,NVDA
Cash ratio,0.516,0.459,0.216,6.108,0.588,NVDA
Days of sales outstanding,51.785,63.062,53.169,55.395,44.363,NVDA
Days of inventory outstanding,162.079,100.734,106.146,86.105,126.485,NVDA
Operating cycle,213.864,163.796,159.314,141.500,170.848,NVDA
Days of payables outstanding,37.480,68.947,69.814,60.423,41.037,NVDA
Cash conversion cycle,176.384,94.848,89.500,81.077,129.811,NVDA
Gross profit margin,0.569,0.649,0.623,0.620,0.612,NVDA
Operating profit margin,0.215,0.373,0.272,0.261,0.325,NVDA
Pretax profit margin,0.155,0.369,0.264,0.272,0.333,NVDA
Net profit margin,0.162,0.362,0.260,0.256,0.353,NVDA
Effective tax rate,-0.045,0.019,0.017,0.059,-0.063,NVDA
Return on assets,0.106,0.221,0.150,0.161,0.312,NVDA
Return on equity,0.198,0.366,0.256,0.229,0.443,NVDA
Return on capital employed,0.167,0.252,0.182,0.183,0.318,NVDA
Net income per EBT,1.045,0.981,0.983,0.941,1.063,NVDA
Ebt per ebit,0.721,0.990,0.973,1.044,1.024,NVDA
Ebit per revenue,0.215,0.373,0.272,0.261,0.325,NVDA
Debt ratio,0.463,0.398,0.413,0.295,0.297,NVDA
Debt equity ratio,0.536,0.439,0.450,0.217,0.213,NVDA
Long term debt to capitalization,0.324,0.305,0.281,0.173,0.175,NVDA
Total debt to capitalization,0.349,0.305,0.310,0.178,0.175,NVDA
Interest coverage,22.122,42.547,24.630,54.731,65.586,NVDA
Cash flow to debt ratio,0.476,0.779,0.766,1.801,1.883,NVDA
Company equity multiplier,1.863,1.660,1.704,1.419,1.423,NVDA
Receivables turnover,7.048,5.788,6.865,6.589,8.228,NVDA
Payables turnover,9.738,5.294,5.228,6.041,8.894,NVDA
Inventory turnover,2.252,3.623,3.439,4.239,2.886,NVDA
Fixed asset turnover,5.567,7.462,5.839,4.764,8.345,NVDA
Asset turnover,0.655,0.609,0.579,0.631,0.881,NVDA
Operating cash flow per share,2.268,3.649,2.360,1.954,1.539,NVDA
Free cash flow per share,1.531,3.258,1.903,1.754,1.292,NVDA
Cash per share,5.346,8.497,4.686,4.473,3.052,NVDA
Payout ratio,0.091,0.041,0.091,0.139,0.090,NVDA
Operating cash flow sales ratio,0.209,0.338,0.349,0.436,0.319,NVDA
Free cash flow operating cash flow ratio,0.675,0.893,0.806,0.897,0.840,NVDA
Cash flow coverage ratios,0.476,0.779,0.766,1.801,1.883,NVDA
Short term coverage ratios,4.513,0,5.828,52.319,0,NVDA
Capital expenditure coverage ratio,-3.077,-9.332,-5.161,-9.736,-6.238,NVDA
Dividend paid and capex coverage ratio,-3.931,-15.785,-7.943,-48.091,-16.345,NVDA
Dividend payout ratio,0.091,0.041,0.091,0.139,0.090,NVDA
Price book value ratio,21.563,22.966,19.331,11.986,8.982,NVDA
Price to book ratio,21.563,22.966,19.331,11.986,8.982,NVDA
Price to sales ratio,17.667,22.708,19.584,13.398,7.162,NVDA
Price earnings ratio,109.102,62.671,75.382,52.318,20.263,NVDA
Price to free cash flows ratio,125.147,75.156,69.569,34.242,26.697,NVDA
Price to operating cash flows ratio,84.481,67.103,56.090,30.725,22.418,NVDA
Price cash flow ratio,84.481,67.103,56.090,30.725,22.418,NVDA
Price earnings to growth ratio,-1.984,0.513,1.421,-1.617,0.598,NVDA
Price sales ratio,17.667,22.708,19.584,13.398,7.162,NVDA
Dividend yield,0.001,0.001,0.001,0.003,0.004,NVDA
Enterprise value multiple,66.080,54.697,58.567,40.534,20.189,NVDA
Price fair value,21.563,22.966,19.331,11.986,8.982,NVDA
