,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),NWL,287.0,440.0,981.0,348.6
Total cash(figures in $M),NWL,287.0,440.0,981.0,348.6
Net receivables(figures in $M),NWL,1250.0,1500.0,1678.0,1841.5
Inventory(figures in $M),NWL,2203.0,1997.0,1638.0,1606.7
Other current assets(figures in $M),NWL,312.0,0.0,0.0,0.0
Total current assets(figures in $M),NWL,4052.0,4262.0,4628.0,4109.9
"Gross property, plant and equipment(figures in $M)",NWL,1762.0,1762.0,1706.0,1770.1
Accumulated depreciation(figures in $M),NWL,-1889.0,-1943.0,-1888.0,-1722.9
"Net property, plant and equipment(figures in $M)",NWL,1762.0,1762.0,1706.0,1770.1
Goodwill(figures in $M),NWL,3298.0,3504.0,3553.0,3708.8
Intangible assets(figures in $M),NWL,2649.0,3370.0,3564.0,4916.4
Other long-term assets(figures in $M),NWL,691.0,467.0,411.0,361.3
Total non-current assets(figures in $M),NWL,9210.0,9917.0,10072.0,11532.1
Total assets(figures in $M),NWL,13262.0,14179.0,14700.0,15642.0
Current debt(figures in $M),NWL,621.0,3.0,466.0,332.4
Accounts payable(figures in $M),NWL,1062.0,1680.0,1526.0,1101.4
Taxes payable(figures in $M),NWL,53.0,43.0,66.0,114.0
Accrued liabilities(figures in $M),NWL,1272.0,1364.0,1393.0,1340.3
Total current liabilities(figures in $M),NWL,3078.0,3317.0,3621.0,2978.0
Long-term debt(figures in $M),NWL,4756.0,4883.0,5141.0,5391.3
Deferred tax liabilities(figures in $M),NWL,520.0,405.0,414.0,624.9
Other long-term liabilities(figures in $M),NWL,877.0,983.0,1152.0,1110.4
Total non-current liabilities(figures in $M),NWL,6665.0,6771.0,7179.0,7668.0
Total liabilities(figures in $M),NWL,9743.0,10088.0,10800.0,10646.0
Common stock(figures in $M),NWL,439.0,450.0,448.0,447.1
Retained earnings(figures in $M),NWL,-2338.0,-2602.0,-3174.0,-2404.2
Accumulated other comprehensive income(figures in $M),NWL,-1011.0,-882.0,-880.0,-919.9
Total stockholders' equity(figures in $M),NWL,3519.0,4091.0,3874.0,4963.3
Total liabilities and stockholders' equity(figures in $M),NWL,13262.0,14179.0,14700.0,15642.0
