,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),OMC,4281.8,5316.8,5600.5,4305.7
Other short-term investments(figures in $M),OMC,60.7,0.0,0.0,3.6
Total cash(figures in $M),OMC,4342.5,5316.8,5600.5,4309.3
Net receivables(figures in $M),OMC,8097.1,8472.5,7813.4,7829.0
Inventory(figures in $M),OMC,1254.6,1201.0,1101.2,1257.6
Other current assets(figures in $M),OMC,918.8,919.2,1075.0,1188.8
Total current assets(figures in $M),OMC,14613.0,15909.5,15590.1,14584.7
"Gross property, plant and equipment(figures in $M)",OMC,3232.6,3360.7,2965.3,3204.5
Accumulated depreciation(figures in $M),OMC,-1167.5,-1165.7,-1156.7,-1142.8
"Net property, plant and equipment(figures in $M)",OMC,2065.1,2195.0,1808.6,2061.7
Equity and other investments(figures in $M),OMC,66.2,76.3,85.3,106.8
Goodwill(figures in $M),OMC,9734.3,9738.6,9609.7,9440.5
Intangible assets(figures in $M),OMC,313.4,298.0,298.5,338.2
Other long-term assets(figures in $M),OMC,210.5,204.4,255.0,251.5
Total non-current assets(figures in $M),OMC,12389.5,12512.3,12057.1,12198.7
Total assets(figures in $M),OMC,27002.5,28421.8,27647.2,26783.4
Current debt(figures in $M),OMC,16.9,9.6,3.9,612.5
Accounts payable(figures in $M),OMC,11000.2,11897.2,11513.0,11768.4
Deferred revenues(figures in $M),OMC,1492.3,1644.5,1361.3,1215.3
Other current liabilities(figures in $M),OMC,2243.4,2411.6,2402.4,2131.9
Total current liabilities(figures in $M),OMC,15052.8,16226.2,15525.1,15980.9
Long-term debt(figures in $M),OMC,5576.6,5685.7,5807.3,4531.9
Deferred tax liabilities(figures in $M),OMC,475.7,477.3,443.5,408.1
Other long-term liabilities(figures in $M),OMC,837.5,961.5,970.7,1006.8
Total non-current liabilities(figures in $M),OMC,7790.4,8421.9,8545.2,7428.8
Total liabilities(figures in $M),OMC,22843.2,24648.1,24070.3,23409.7
Common stock(figures in $M),OMC,44.6,44.6,44.6,44.6
Retained earnings(figures in $M),OMC,9739.3,8998.8,8190.6,7806.3
Accumulated other comprehensive income(figures in $M),OMC,-1437.9,-1252.3,-1213.8,-1197.6
Total stockholders' equity(figures in $M),OMC,3252.1,3270.2,3084.4,2853.9
Total liabilities and stockholders' equity(figures in $M),OMC,27002.5,28421.8,27647.2,26783.4
