,2022,2021,2020,2019,2018,ticker
Current ratio,0.971,0.980,1.004,0.913,0.899,OMC
Quick ratio,0.826,0.850,0.864,0.760,0.742,OMC
Cash ratio,0.284,0.328,0.361,0.269,0.239,OMC
Days of sales outstanding,206.832,216.417,216.526,191.096,183.001,OMC
Days of inventory outstanding,39.450,38.120,36.576,37.643,34.087,OMC
Operating cycle,246.282,254.536,253.102,228.739,217.088,OMC
Days of payables outstanding,345.891,377.617,382.398,352.261,336.445,OMC
Cash conversion cycle,-99.610,-123.080,-129.296,-123.522,-119.357,OMC
Gross profit margin,0.188,0.195,0.166,0.185,0.187,OMC
Operating profit margin,0.146,0.154,0.121,0.142,0.140,OMC
Pretax profit margin,0.136,0.139,0.107,0.130,0.126,OMC
Net profit margin,0.092,0.099,0.072,0.090,0.087,OMC
Effective tax rate,0.281,0.246,0.271,0.260,0.256,OMC
Return on assets,0.049,0.050,0.034,0.050,0.054,OMC
Return on equity,0.405,0.430,0.307,0.469,0.521,OMC
Return on capital employed,0.174,0.180,0.132,0.196,0.228,OMC
Net income per EBT,0.677,0.708,0.671,0.691,0.689,OMC
Ebt per ebit,0.934,0.905,0.881,0.913,0.902,OMC
Ebit per revenue,0.146,0.154,0.121,0.142,0.140,OMC
Debt ratio,0.846,0.867,0.871,0.874,0.874,OMC
Debt equity ratio,1.997,2.033,2.245,2.249,1.921,OMC
Long term debt to capitalization,0.666,0.670,0.692,0.670,0.633,OMC
Total debt to capitalization,0.666,0.670,0.692,0.692,0.658,OMC
Interest coverage,9.987,9.297,7.208,8.687,7.946,OMC
Cash flow to debt ratio,0.143,0.293,0.249,0.289,0.352,OMC
Company equity multiplier,8.303,8.691,8.964,9.385,9.665,OMC
Receivables turnover,1.765,1.687,1.686,1.910,1.995,OMC
Payables turnover,1.055,0.967,0.955,1.036,1.085,OMC
Inventory turnover,9.252,9.575,9.979,9.696,10.708,OMC
Fixed asset turnover,6.919,6.510,7.282,7.253,22.019,OMC
Asset turnover,0.529,0.503,0.476,0.558,0.621,OMC
Operating cash flow per share,4.506,9.078,7.999,8.444,7.601,OMC
Free cash flow per share,4.126,5.971,7.649,7.979,6.737,OMC
Cash per share,21.121,24.810,25.976,19.606,16.143,OMC
Payout ratio,0.441,0.421,0.595,0.421,0.414,OMC
Operating cash flow sales ratio,0.065,0.136,0.131,0.124,0.113,OMC
Free cash flow operating cash flow ratio,0.916,0.658,0.956,0.945,0.886,OMC
Cash flow coverage ratios,0.143,0.293,0.249,0.289,0.352,OMC
Short term coverage ratios,54.822,202.646,442.205,3.030,3.392,OMC
Capital expenditure coverage ratio,-11.848,-2.922,-22.873,-18.160,-8.801,OMC
Dividend paid and capex coverage ratio,1.842,-26.468,3.539,4.016,4.882,OMC
Dividend payout ratio,0.441,0.421,0.595,0.421,0.414,OMC
Price book value ratio,5.157,4.801,4.360,6.240,6.516,OMC
Price to book ratio,5.157,4.801,4.360,6.240,6.516,OMC
Price to sales ratio,1.174,1.099,1.021,1.191,1.085,OMC
Price earnings ratio,12.739,11.153,14.224,13.299,12.512,OMC
Price to free cash flows ratio,19.770,12.271,8.154,10.154,10.871,OMC
Price to operating cash flows ratio,18.101,8.071,7.797,9.595,9.636,OMC
Price cash flow ratio,18.101,8.071,7.797,9.595,9.636,OMC
Price earnings to growth ratio,-4.923,0.223,-0.507,3.242,0.500,OMC
Price sales ratio,1.174,1.099,1.021,1.191,1.085,OMC
Dividend yield,0.035,0.038,0.042,0.032,0.033,OMC
Enterprise value multiple,7.998,6.988,7.969,8.252,7.584,OMC
Price fair value,5.157,4.801,4.360,6.240,6.516,OMC
