,ticker,2023,2024,2025,2026,2027
Revenue(In $M),ORCL,"49,842","53,400","57,376","63,089",-
Dividend,ORCL,1.24,1.39,1.46,1.60,-
Dividend Yield (in %),ORCL,1.49 %,1.67 %,1.75 %,-,-
EPS,ORCL,5.04,5.59,6.30,7.13,-
P/E Ratio,ORCL,18.71,16.85,14.95,13.21,-
EBIT(In $M),ORCL,"20,895","23,057","25,394","28,378",-
EBITDA(In $M),ORCL,"24,831","27,354","29,916","34,092",-
Net Profit(In $M),ORCL,"13,907","15,536","17,281","19,581",-
Net Profit Adjusted(In $M),ORCL,"13,907","15,536","17,416","19,581",-
Pre-Tax Profit(In $M),ORCL,"16,951","19,220","21,736","24,783",-
Net Profit (Adjusted)(In $M),ORCL,"9,422","12,575","15,250","19,410",-
EPS (Non-GAAP) ex. SOE(In $),ORCL,4.45,5.10,5.81,7.12,-
EPS (GAAP)(In $),ORCL,2.92,3.91,4.78,4.70,-
Gross Income(In $M),ORCL,"37,024","40,009","43,030","46,072",-
Cash Flow from Investing(In $M),ORCL,"-37,329","-8,100","-7,825","-6,797",-
Cash Flow from Operations(In $M),ORCL,"16,030","18,666","21,499","22,283",-
Cash Flow from Financing(In $M),ORCL,"8,131","-7,407","-11,492","-8,545",-
Cash Flow per Share(In $),ORCL,5.07,5.96,7.52,9.31,-
Free Cash Flow(In $M),ORCL,"7,023","10,628","13,416","15,542",-
Free Cash Flow per Share(In $),ORCL,2.56,3.83,3.99,-,-
Book Value per Share(In $),ORCL,-0.07,4.02,7.83,14.91,-
Net Debt(In $M),ORCL,"80,002","71,704","63,698","57,394",-
Research & Development Exp.(In $M),ORCL,"6,792","7,171","7,635","7,181",-
Capital Expenditure(In $M),ORCL,"9,054","7,964","7,727","7,804","8,915"
"Selling, General & Admin. Exp.(In $M)",ORCL,"9,509","9,745","10,004",-,-
Shareholder’s Equity(In $M),ORCL,147,"10,052","19,594","34,949","23,493"
Total Assets(In $M),ORCL,"135,220","143,587","149,396","169,689",-
