,ticker,sentiment
2023-04-04 21:48:00,ORCL,-0.0258
2023-04-05 19:17:00,ORCL,-0.3818
2023-04-05 23:08:46,ORCL,-0.128
2023-04-06 06:00:00,ORCL,0.796
2023-04-06 22:00:00,ORCL,0.1779
2023-04-06 23:12:00,ORCL,0.4215
2023-04-08 00:05:00,ORCL,0.5859
2023-04-08 18:21:00,ORCL,0.5994
2023-04-10 04:46:09,ORCL,0.1779
2023-04-10 06:00:00,ORCL,0.6908
2023-04-10 21:05:00,ORCL,0.4019
2023-04-11 04:45:00,ORCL,0.3818
2023-04-11 23:23:00,ORCL,-0.0772
2023-04-12 05:30:00,ORCL,0.6597
2023-04-12 05:47:00,ORCL,0.2023
2023-04-12 06:00:00,ORCL,0.128
2023-04-12 10:44:55,ORCL,0.2023
2023-04-12 11:14:06,ORCL,0.6486
2023-04-13 05:48:00,ORCL,0.296
2023-04-13 06:00:00,ORCL,0.5106
2023-04-13 23:32:00,ORCL,-0.3612
2023-04-14 00:30:00,ORCL,-0.3612
2023-04-14 05:01:58,ORCL,0.5242
2023-04-14 11:21:24,ORCL,-0.5574
2023-04-15 21:43:54,ORCL,0.7096
2023-04-16 22:15:00,ORCL,0.4767
2023-04-16 22:39:00,ORCL,0.0772
2023-04-18 01:14:00,ORCL,0.3182
2023-04-18 05:35:00,ORCL,0.4404
2023-04-18 06:00:00,ORCL,0.7717
2023-04-18 10:15:00,ORCL,0.5106
2023-04-19 00:01:00,ORCL,0.7096
2023-04-19 00:02:00,ORCL,0.6369
2023-04-19 00:20:53,ORCL,0.1819
2023-04-19 04:45:59,ORCL,0.4404
2023-04-19 07:51:02,ORCL,0.6705
2023-04-19 09:53:04,ORCL,0.2023
2023-04-20 03:00:00,ORCL,0.2732
2023-04-20 03:56:19,ORCL,0.7003
2023-04-20 07:43:14,ORCL,-0.3612
2023-04-20 08:03:32,ORCL,-0.0772
2023-04-20 12:38:18,ORCL,-0.4588
2023-04-21 03:00:00,ORCL,0.5106
2023-04-21 22:00:00,ORCL,0.34
2023-04-22 01:33:01,ORCL,0.3818
2023-04-23 14:18:28,ORCL,0.1154
2023-04-24 08:27:03,ORCL,0.5106
2023-04-24 09:39:00,ORCL,-0.6908
2023-04-24 14:50:09,ORCL,0.34
2023-04-25 10:15:00,ORCL,0.3089
2023-04-27 07:48:00,ORCL,0.2023
2023-04-27 09:17:25,ORCL,0.6908
2023-04-28 05:00:00,ORCL,0.3182
2023-04-29 02:00:01,ORCL,0.7264
2023-04-30 04:02:00,ORCL,0.631
2023-05-01 10:15:00,ORCL,0.5106
2023-05-01 14:45:09,ORCL,0.34
2023-05-01 18:33:00,ORCL,-0.0258
2023-05-02 21:03:00,ORCL,0.2732
2023-05-02 22:00:00,ORCL,0.2732
2023-05-04 06:00:00,ORCL,0.4767
