,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),OXY,36634.0,36634.0,25956.0,17809.0,20393.0
Cost of revenue(figures in $M),OXY,18989.0,18989.0,18106.0,16565.0,14318.0
Gross profit(figures in $M),OXY,17645.0,17645.0,7850.0,1244.0,6075.0
Selling general and administrative(figures in $M),OXY,945.0,945.0,863.0,864.0,882.0
Total operating expenses(figures in $M),OXY,3980.0,3980.0,3185.0,2502.0,3260.0
Operating income or loss(figures in $M),OXY,13665.0,13665.0,4665.0,-1258.0,2815.0
Interest expense(figures in $M),OXY,1030.0,1030.0,1614.0,1424.0,1066.0
Total other income/expenses net(figures in $M),OXY,1329.0,1329.0,488.0,-13141.0,-1780.0
Income before tax(figures in $M),OXY,14117.0,14117.0,3705.0,-15705.0,186.0
Income tax expense(figures in $M),OXY,813.0,813.0,915.0,-2172.0,693.0
Income from continuing operations(figures in $M),OXY,13304.0,13304.0,2790.0,-13533.0,-507.0
Net income(figures in $M),OXY,13304.0,12504.0,2322.0,-14831.0,-667.0
Net income available to common shareholders(figures in $M),OXY,12421.0,11704.0,1522.0,-15675.0,-985.0
Basic EPS(figures in $M),OXY,,,1.6200000000000002e-06,-1.706e-05,-1.22e-06
Diluted EPS(figures in $M),OXY,,,1.5800000000000001e-06,-1.706e-05,-1.22e-06
Basic average shares(figures in $M),OXY,,,935.0,918.7,809.5
Diluted average shares(figures in $M),OXY,,,958.8,918.7,809.5
EBITDA(figures in $M),OXY,,22073.0,13766.0,-6184.0,7233.0
