,headline,final_score,datetime
2,Occidental Announces Dividend,59,2023-05-04 10:45:00
3,Occidental Petroleum Corp. stock outperforms market despite losses on the day,86,2023-05-04 10:16:00
10,Unusual Put Option Trade in Occidental Petroleum (OXY)  Worth $720.00K,86,2023-05-03 19:39:26
11,Berkshire Hathaway's stake in Occidental Petroleum continues to just 'be an equity holding': Analyst,86,2023-05-03 14:07:51
12,"Occidental Petroleum Corp. stock falls Wednesday, underperforms market",86,2023-05-03 10:16:00
14,Why Warren Buffett keeps buying Occidental Petroleum — 'Nothing but sense',86,2023-05-03 08:39:53
19,Occidental Petroleum Corp. stock outperforms competitors despite losses on the day,86,2023-05-02 10:15:00
21,Occidental Petroleum (OXY) Expected to Beat Earnings Estimates: Can the Stock Move Higher?,86,2023-05-02 07:01:02
25,Occidental Petroleum (OXY) Dips More Than Broader Markets: What You Should Know,86,2023-05-01 14:45:09
27,Occidental Petroleum Corporation (NYSE:OXY) is favoured by institutional owners who hold 58% of the company,86,2023-05-01 04:00:46
32,Construction of Occidental`s (NYSE:OXY) First Carbon Capture Plant Begins,86,2023-04-30 23:17:00
33,Occidental`s (NYSE:OXY) First Carbon Capture Plant Construction Begins,86,2023-04-30 23:11:00
39,"Occidental Petroleum Corp. stock rises Friday, outperforms market",86,2023-04-28 10:15:00
42,Occidental starts digging first direct-air carbon capture plant in Texas,86,2023-04-27 23:00:00
45,"Occidental Petroleum Corp. stock rises Thursday, still underperforms market",86,2023-04-27 10:16:00
46,"While shareholders of Occidental Petroleum (NYSE:OXY) are in the black over 3 years, those who bought a week ago aren't so fortunate",86,2023-04-27 04:00:37
47,"The Zacks Analyst Blog Highlights Mondelez International, Occidental Petroleum, Marriott International, Salesforce and Take-Two Interactive Software",86,2023-04-27 02:59:09
51,"Top Stock Reports for Mondelez International, Occidental Petroleum & Marriott International",86,2023-04-26 13:51:08
52,Occidental Petroleum Corporation (OXY) is Attracting Investor Attention: Here is What You Should Know,86,2023-04-26 06:00:01
58,"Occidental Petroleum Corp. stock falls Tuesday, underperforms market",86,2023-04-25 10:15:00
63,Occidental Petroleum (OXY) Outpaces Stock Market Gains: What You Should Know,86,2023-04-24 14:45:09
64,NET Power and Rice Acquisition Corp. II Announce Upsized PIPE Commitments from Occidental and Rice Family,86,2023-04-24 13:30:00
65,"Occidental Petroleum Corp. stock rises Monday, outperforms market",86,2023-04-24 10:16:00
69,OXY and Rice Family put another $275M for NET Power - Rice II merger,60,2023-04-23 21:29:00
70,"Net Power, Rice SPAC announce upsized PIPE commitment from Occidental",86,2023-04-23 20:34:00
72,Could The Market Be Wrong About Occidental Petroleum Corporation (NYSE:OXY) Given Its Attractive Financial Prospects?,86,2023-04-23 04:00:26
76,"Occidental Petroleum Corp. stock falls Friday, underperforms market",86,2023-04-21 10:15:00
78,Goldman Sachs Maintains Occidental Petroleum (OXY) Buy Recommendation,86,2023-04-21 08:27:33
79,Susquehanna Maintains Occidental Petroleum (OXY) Positive Recommendation,86,2023-04-21 08:27:31
80,Raymond James Maintains Occidental Petroleum (OXY) Strong Buy Recommendation,86,2023-04-21 08:27:31
81,Occidental Petroleum (OXY) Receives a Rating Update from a Top Analyst,86,2023-04-21 04:26:00
82,Occidental Petroleum price target raised to $75 from $72 at Susquehanna,86,2023-04-20 23:10:00
87,"Occidental Petroleum Corp. stock falls Thursday, underperforms market",86,2023-04-20 10:15:00
90,Morgan Stanley Maintains Occidental Petroleum (OXY) Equal-Weight Recommendation,86,2023-04-19 17:30:11
91,Occidental Petroleum Corp. stock underperforms Wednesday when compared to competitors,86,2023-04-19 10:15:00
92,UBS Initiates Coverage of Occidental Petroleum (OXY) with Neutral Recommendation,86,2023-04-19 06:19:44
93,Morgan Stanley Sticks to Their Hold Rating for Occidental Petroleum (OXY),86,2023-04-19 04:26:00
95,Why Warren Buffett Likes Occidental's Multibillion-Dollar Bet,86,2023-04-19 02:50:00
96,Occidental Petroleum initiated with a Neutral at UBS,86,2023-04-18 23:10:00
99,Occidental Petroleum Corp. stock outperforms market on strong trading day,86,2023-04-18 10:15:00
101,Occidental Petroleum assumed with a Neutral at UBS,86,2023-04-17 23:16:00
103,Occidental Petroleum Corp. stock underperforms Monday when compared to competitors,86,2023-04-17 10:15:00
104,A Look At The Fair Value Of Occidental Petroleum Corporation (NYSE:OXY),86,2023-04-17 05:00:19
114,"If You Invested $10,000 in Occidental Petroleum Three Years Ago, This Is How Much You Would Have Today",86,2023-04-15 02:48:00
116,Occidental Petroleum Corp. stock underperforms Friday when compared to competitors,86,2023-04-14 10:15:00
118,Interesting OXY Put And Call Options For October 20th,60,2023-04-14 02:55:00
