,headline,final_score,datetime
0,Q1 2023 PG&E Corp Earnings Call,90,2023-05-04 22:04:11
1,"PG&E Corp. (PCG) Meets Q1 Earnings, Reaffirms 2023 View",90,2023-05-04 07:44:02
2,PG&E Corporation (PCG) Q1 2023 Earnings Call Transcript,90,2023-05-04 06:14:04
3,PG&E (PCG) Matches Q1 Earnings Estimates,86,2023-05-04 04:35:11
4,PG&E Corporation Reports First-Quarter Results; On Track to Deliver Solid 2023,60,2023-05-04 03:15:00
5,"PG&E Non-GAAP EPS of $0.29 in-line, revenue of $6.21B beats by $20M",86,2023-05-03 22:25:00
6,"PG&E backs FY23 EPS view $1.19-$1.23, consensus $1.21",86,2023-05-03 22:25:00
7,"PG&E reports Q1 EPS 29c, consensus 29c",86,2023-05-03 22:24:00
8,"Grants Totaling $900,000 from The PG&E Corporation Foundation and PG&E Available to Groups Supporting Environmental Stewardship and Climate Resilience",60,2023-05-03 10:10:00
9,PG&E Q1 2023 Earnings Preview,86,2023-05-03 05:50:00
10,PG&E (PCG) Set to Report Q1 Earnings: What's in the Cards?,86,2023-05-02 05:26:12
11,PG&E Incentive Program Provides Customers Bill Credits While Supporting the Grid,57,2023-05-01 10:18:00
13,Morgan Stanley Maintains PG&E (PCG) Equal-Weight Recommendation,86,2023-04-26 08:55:31
14,PG&E (NYSE:PCG) shareholders have earned a 18% CAGR over the last three years,60,2023-04-25 12:14:43
15,RBC Capital Reaffirms Their Buy Rating on PG&E (PCG),86,2023-04-25 01:47:00
16,PG&E Shares Tips with Customers that Can Lessen Their Carbon Footprint in Time for Earth Day,57,2023-04-21 10:00:00
19,PG&E Corp. (PCG) Secures 24% Reduction in Gas Emissions,90,2023-04-19 06:42:01
20,PG&E Reduces Emissions from Gas Pipelines by More than 20%,86,2023-04-18 10:48:00
22,Analysts Offer Insights on Utilities Companies: NextEra Energy (NEE) and PG&E (PCG),60,2023-04-18 01:31:00
24,"Keeping Local Restaurants Cooking, The PG&E Corporation Foundation Renews Contribution to Restaurants Care Resilience Fund for 2023",60,2023-04-17 10:04:00
26,"Biden adds more EV charging across U.S., with pledges from Uber, Walmart, PG&E and others",57,2023-04-17 01:13:00
29,Interesting PCG Put And Call Options For June 2nd,60,2023-04-13 03:32:00
30,"PCG, NRG: 2 Utilities Stocks Worth Your Attention",60,2023-04-12 23:32:00
32,PG&E sued in bid to force closure of Diablo Canyon nuclear plant,86,2023-04-12 03:02:00
33,PG&E 60M share Block Trade priced at $16.25,86,2023-04-12 00:44:00
34,PG&E Sued To Force Closure of California’s Last Nuclear Plant,86,2023-04-11 17:42:08
38,Ladenburg Thalmann Initiates Coverage of PG&E (PCG) with Buy Recommendation,60,2023-04-03 16:18:16
39,PG&E (NYSE:PCG) Is Reinvesting At Lower Rates Of Return,86,2023-04-03 12:40:21
41,PG&E initiated with a Buy at Ladenburg,86,2023-04-02 22:48:00
42,PG&E's 'Sustainability Bond' Transaction to Support Investments in Grid Resilience and Carbon Reduction,57,2023-03-31 11:00:00
44,PG&E Coworkers Roll Up Sleeves with California State Parks Foundation for Earth Day Climate Action Events in April,57,2023-03-30 08:27:00
45,Implied Volatility Surging for PG&E Corp. (PCG) Stock Options,90,2023-03-30 05:40:12
46,May 12th Options Now Available For PG&E,86,2023-03-30 03:42:00
47,PG&E outlines new $18B program to cut wildfire risk,86,2023-03-28 02:05:00
48,PG&E Outlines Continued Risk-Informed Improvements to Wildfire Safety Efforts Through 2025,57,2023-03-27 17:09:00
49,PG&E Pledges $18 Billion to Cut Wildfire Risk in California,86,2023-03-27 16:39:29
53,Interesting PCG Put And Call Options For May 5th,60,2023-03-23 02:59:00
54,PG&E Customers' Electricity 96% Greenhouse Gas-Free in 2022,86,2023-03-20 13:09:00
57,PG&E Corporation's (NYSE:PCG) Intrinsic Value Is Potentially 27% Above Its Share Price,60,2023-03-18 07:46:35
58,PG&E Takes Over #184 Spot From Agilent Technologies,86,2023-03-16 20:40:00
59,May 19th Options Now Available For PG&E,86,2023-03-16 03:46:00
60,PG&E Appoints CFO as Utility Aims to Reduce Wildfire Risk,86,2023-03-15 17:33:00
61,PG&E finance head Foster resigns to join CenterPoint Energy as CFO,86,2023-03-15 14:32:14
62,UPDATE 2-PG&E finance head Foster resigns to join CenterPoint Energy as CFO,57,2023-03-15 13:47:03
63,PG&E names Burke as new CFO,86,2023-03-15 13:21:40
64,PG&E Corporation Appoints Carolyn Burke as Executive Vice President and Chief Financial Officer,60,2023-03-15 13:16:00
66,PG&E gets new CFO from Chevron Phillips after Foster leaves to join Centerpoint,57,2023-03-14 21:20:00
67,CenterPoint Energy calls in PG&E veteran Foster for top finance job,86,2023-03-14 20:44:00
68,"PG&E names Carolyn Burke as CFO, effective May 4",86,2023-03-14 20:19:00
71,RBC Capital Sticks to Its Buy Rating for PG&E (PCG),86,2023-03-10 02:25:00
72,"PG&E Customers Can Spring Forward with Safety as Daylight Saving Begins Sunday, March 12",57,2023-03-09 07:30:00
73,"PG&E: Dividend Reinstatement Expected In H2, Shares Remain Undervalued",86,2023-03-09 07:15:49
74,"PG&E Is Tempting, But I Still Refuse To Buy",86,2023-03-09 04:39:07
75,"PG&E Mobilizing for Powerful Winter Storm Expected to Arrive in Northern California Thursday, Spread to Rest of the State Friday",57,2023-03-08 08:00:00
77,Man charged with blowing up two PG&E transformers in California,86,2023-03-06 09:10:00
78,Stay Safe from Scams: PG&E Partners with the Federal Trade Commission to Help Customers Recognize and Avoid Utility Scams,57,2023-03-06 07:07:00
