,ticker,sentiment
2023-04-11 16:40:23,PCG,-0.2263
2023-04-12 00:44:00,PCG,-0.1779
2023-04-12 21:58:00,PCG,0.2263
2023-04-12 23:32:00,PCG,0.2263
2023-04-13 03:32:00,PCG,0.4019
2023-04-15 01:56:00,PCG,0.6705
2023-04-15 07:39:00,PCG,0.1027
2023-04-17 10:04:00,PCG,0.4939
2023-04-17 12:56:07,PCG,0.6369
2023-04-18 01:31:00,PCG,0.2732
2023-04-18 09:18:13,PCG,0.4939
2023-04-19 06:42:01,PCG,0.3182
2023-04-21 00:00:00,PCG,-0.6124
2023-04-21 06:00:00,PCG,0.2263
2023-04-21 10:00:00,PCG,0.296
2023-04-27 16:48:02,PCG,0.5719
2023-05-01 10:18:00,PCG,0.7845
2023-05-03 10:10:00,PCG,0.5859
2023-05-03 22:25:00,PCG,-0.0516
2023-05-04 03:15:00,PCG,0.1531
