,ticker,2023,2024,2025,2026
Revenue(In $M),PDCO,"6,409","6,614","6,831","6,848"
Dividend,PDCO,1.06,1.06,1.06,-
Dividend Yield (in %),PDCO,4.09 %,4.12 %,4.12 %,-
EPS,PDCO,2.27,2.34,2.50,2.75
P/E Ratio,PDCO,11.74,11.41,10.68,9.70
EBIT(In $M),PDCO,298,323,343,-
EBITDA(In $M),PDCO,342,365,387,389
Net Profit(In $M),PDCO,223,226,240,-
Net Profit Adjusted(In $M),PDCO,223,226,240,-
Pre-Tax Profit(In $M),PDCO,283,294,316,-
Net Profit (Adjusted)(In $M),PDCO,271,283,306,-
EPS (Non-GAAP) ex. SOE(In $),PDCO,2.27,2.34,2.50,2.75
EPS (GAAP)(In $),PDCO,1.98,2.04,2.20,-
Gross Income(In $M),PDCO,"1,339","1,390","1,451",-
Cash Flow from Investing(In $M),PDCO,772,-50,-51,-
Cash Flow from Operations(In $M),PDCO,-629,160,191,-
Cash Flow from Financing(In $M),PDCO,42,-102,-102,-
Cash Flow per Share(In $),PDCO,-2.44,2.58,2.79,-
Free Cash Flow(In $M),PDCO,-415,45,74,-
Free Cash Flow per Share(In $),PDCO,-6.17,-1.25,-1.06,-
Book Value per Share(In $),PDCO,12.38,13.75,15.30,-
Net Debt(In $M),PDCO,368,275,142,-186
Research & Development Exp.(In $M),PDCO,-,-,-,-
Capital Expenditure(In $M),PDCO,53,50,52,49
"Selling, General & Admin. Exp.(In $M)",PDCO,"1,063","1,094","1,137",-
Shareholder’s Equity(In $M),PDCO,"1,209","1,363","1,519","1,469"
Total Assets(In $M),PDCO,"3,189","3,399","3,626",-
