,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),PEG,465.0,818.0,543.0,147.0
Total cash(figures in $M),PEG,465.0,818.0,543.0,147.0
Net receivables(figures in $M),PEG,1944.0,1859.0,1410.0,1313.0
Inventory(figures in $M),PEG,960.0,744.0,878.0,897.0
Other current assets(figures in $M),PEG,402.0,408.0,396.0,392.0
Total current assets(figures in $M),PEG,4303.0,6250.0,3630.0,3231.0
"Gross property, plant and equipment(figures in $M)",PEG,46100.0,43885.0,48831.0,46226.0
Accumulated depreciation(figures in $M),PEG,-9982.0,-9318.0,-10984.0,-10100.0
"Net property, plant and equipment(figures in $M)",PEG,36118.0,34567.0,37847.0,36126.0
Equity and other investments(figures in $M),PEG,3037.0,3420.0,3303.0,3274.0
Goodwill(figures in $M),PEG,0.0,0.0,0.0,0.0
Intangible assets(figures in $M),PEG,14.0,20.0,158.0,149.0
Other long-term assets(figures in $M),PEG,271.0,234.0,286.0,286.0
Total non-current assets(figures in $M),PEG,44415.0,42749.0,46420.0,44499.0
Total assets(figures in $M),PEG,48718.0,48999.0,50050.0,47730.0
Current debt(figures in $M),PEG,3775.0,4219.0,2747.0,2480.0
Accounts payable(figures in $M),PEG,1271.0,1315.0,1332.0,1358.0
Accrued liabilities(figures in $M),PEG,134.0,121.0,126.0,116.0
Other current liabilities(figures in $M),PEG,1488.0,1350.0,1193.0,1052.0
Total current liabilities(figures in $M),PEG,6680.0,7072.0,5522.0,5047.0
Long-term debt(figures in $M),PEG,16495.0,15219.0,14496.0,13743.0
Deferred tax liabilities(figures in $M),PEG,5725.0,5759.0,6502.0,6256.0
Other long-term liabilities(figures in $M),PEG,199.0,184.0,214.0,218.0
Total non-current liabilities(figures in $M),PEG,28309.0,27489.0,28544.0,27594.0
Total liabilities(figures in $M),PEG,34989.0,34561.0,34066.0,32641.0
Common stock(figures in $M),PEG,5065.0,5045.0,5031.0,5003.0
Retained earnings(figures in $M),PEG,10591.0,10639.0,12318.0,11406.0
Accumulated other comprehensive income(figures in $M),PEG,-550.0,-350.0,-504.0,-489.0
Total stockholders' equity(figures in $M),PEG,11968.0,11185.0,12675.0,11748.0
Total liabilities and stockholders' equity(figures in $M),PEG,48718.0,48999.0,50050.0,47730.0
