,2022,2021,2020,2019,2018,ticker
Current ratio,1.216,1.399,1.353,0.879,1.567,PFE
Quick ratio,0.884,1.097,0.903,0.587,0.949,PFE
Cash ratio,0.010,0.046,0.069,0.035,0.036,PFE
Days of sales outstanding,52.856,70.698,97.495,85.117,77.556,PFE
Days of inventory outstanding,95.448,107.282,337.873,295.850,243.636,PFE
Operating cycle,148.304,177.980,435.368,380.968,321.192,PFE
Days of payables outstanding,72.364,66.058,180.946,150.729,151.672,PFE
Cash conversion cycle,75.940,111.922,254.421,230.239,169.520,PFE
Gross profit margin,0.658,0.621,0.793,0.803,0.790,PFE
Operating profit margin,0.399,0.305,0.254,0.293,0.280,PFE
Pretax profit margin,0.346,0.299,0.179,0.342,0.222,PFE
Net profit margin,0.313,0.270,0.168,0.314,0.208,PFE
Effective tax rate,0.096,0.076,0.064,0.078,0.059,PFE
Return on assets,0.159,0.121,0.046,0.097,0.070,PFE
Return on equity,0.328,0.285,0.111,0.258,0.176,PFE
Return on capital employed,0.258,0.179,0.083,0.116,0.118,PFE
Net income per EBT,0.903,0.904,0.936,0.920,0.938,PFE
Ebt per ebit,0.868,0.979,0.705,1.168,0.790,PFE
Ebit per revenue,0.399,0.305,0.254,0.293,0.280,PFE
Debt ratio,0.514,0.573,0.588,0.621,0.600,PFE
Debt equity ratio,0.365,0.479,0.605,0.826,0.651,PFE
Long term debt to capitalization,0.250,0.310,0.360,0.363,0.338,PFE
Total debt to capitalization,0.267,0.324,0.377,0.452,0.394,PFE
Interest coverage,32.334,19.235,7.336,9.617,11.432,PFE
Cash flow to debt ratio,0.839,0.881,0.376,0.241,0.384,PFE
Company equity multiplier,2.062,2.351,2.439,2.653,2.514,PFE
Receivables turnover,6.905,5.163,3.744,4.288,4.706,PFE
Payables turnover,5.044,5.525,2.017,2.422,2.407,PFE
Inventory turnover,3.824,3.402,1.080,1.234,1.498,PFE
Fixed asset turnover,6.165,5.462,3.015,3.705,4.008,PFE
Asset turnover,0.509,0.448,0.272,0.309,0.337,PFE
Operating cash flow per share,5.219,5.817,2.593,2.260,2.695,PFE
Free cash flow per share,4.642,5.333,2.090,1.795,2.321,PFE
Cash per share,4.053,5.547,2.200,1.765,3.207,PFE
Payout ratio,0.286,0.397,1.202,0.494,0.715,PFE
Operating cash flow sales ratio,0.292,0.401,0.344,0.243,0.295,PFE
Free cash flow operating cash flow ratio,0.889,0.917,0.806,0.794,0.861,PFE
Cash flow coverage ratios,0.839,0.881,0.376,0.241,0.384,PFE
Short term coverage ratios,9.938,14.538,5.329,0.778,1.791,PFE
Capital expenditure coverage ratio,-9.044,-12.018,-5.161,-4.853,-7.207,PFE
Dividend paid and capex coverage ratio,5.093,5.414,2.550,2.310,2.737,PFE
Dividend payout ratio,0.286,0.397,1.202,0.494,0.715,PFE
Price book value ratio,3.004,4.284,3.233,3.456,4.042,PFE
Price to book ratio,3.004,4.284,3.233,3.456,4.042,PFE
Price to sales ratio,2.864,4.069,4.879,4.216,4.778,PFE
Price earnings ratio,9.160,15.048,29.128,13.408,22.982,PFE
Price to free cash flows ratio,11.039,11.073,17.609,21.832,18.804,PFE
Price to operating cash flows ratio,9.818,10.152,14.197,17.333,16.195,PFE
Price cash flow ratio,9.818,10.152,14.197,17.333,16.195,PFE
Price earnings to growth ratio,0.215,0.071,-0.518,0.260,-0.491,PFE
Price sales ratio,2.864,4.069,4.879,4.216,4.778,PFE
Dividend yield,0.031,0.026,0.041,0.037,0.031,PFE
Enterprise value multiple,7.374,12.820,17.131,13.624,15.156,PFE
Price fair value,3.004,4.284,3.233,3.456,4.042,PFE
