,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),4811.6,4811.6,1710.6,1395.8,1394.2,PFG
Depreciation & amortisation(figures in $M),295.9,295.9,275.3,251.9,226.8,PFG
Stock-based compensation(figures in $M),91.3,91.3,96.1,87.6,82.6,PFG
Change in working capital(figures in $M),2379.5,2379.5,1546.9,2081.3,3860.4,PFG
Accounts receivable(figures in $M),-3630.0,-3630.0,-100.9,16.4,-247.6,PFG
Other working capital(figures in $M),3056.6,3056.6,3088.9,3629.8,5360.8,PFG
Other non-cash items(figures in $M),-619.3,-619.3,-605.9,-210.4,-433.0,PFG
Net cash provided by operating activities(figures in $M),3172.9,3172.9,3218.8,3738.6,5493.2,PFG
"Investments in property, plant and equipment(figures in $M)",-116.3,-116.3,-129.9,-108.8,-132.4,PFG
"Acquisitions, net(figures in $M)",0.0,0.0,0.0,0.0,-1208.5,PFG
Purchases of investments(figures in $M),-19420.8,-19420.8,-16732.5,-15779.8,-14626.2,PFG
Sales/maturities of investments(figures in $M),21583.4,21583.4,13695.3,11863.4,9461.6,PFG
Net cash used for investing activities(figures in $M),1058.5,1058.5,-5658.1,-5025.8,-7688.5,PFG
Debt repayment(figures in $M),-302.0,-302.0,-1.8,-78.4,-32.2,PFG
Common stock issued(figures in $M),181.7,181.7,86.7,42.8,37.7,PFG
Common stock repurchased(figures in $M),-1695.0,-1695.0,-937.2,-307.0,-281.0,PFG
Dividends paid(figures in $M),-642.3,-642.3,-654.1,-614.5,-606.0,PFG
Other financing activities(figures in $M),725.9,725.9,3417.7,1969.3,2052.8,PFG
Net cash used provided by (used for) financing activities(figures in $M),-1715.4,-1715.4,1921.5,1621.1,1733.7,PFG
Net change in cash(figures in $M),2516.0,2516.0,-517.8,333.9,-461.6,PFG
Cash at beginning of period(figures in $M),2332.0,2332.0,2849.8,2515.9,2977.5,PFG
Cash at end of period(figures in $M),4848.0,4848.0,2332.0,2849.8,2515.9,PFG
Operating cash flow(figures in $M),3172.9,3172.9,3218.8,3738.6,5493.2,PFG
Capital expenditure(figures in $M),-116.3,-116.3,-129.9,-108.8,-132.4,PFG
Free cash flow(figures in $M),3056.6,3056.6,3088.9,3629.8,5360.8,PFG
