,ticker,2023,2024,2025
Revenue(In $M),PFG,"14,096","14,861","15,521"
Dividend,PFG,2.65,2.81,3.14
Dividend Yield (in %),PFG,3.65 %,3.90 %,4.34 %
EPS,PFG,6.67,7.48,8.13
P/E Ratio,PFG,10.50,9.36,8.61
EBIT(In $M),PFG,"1,861","2,025","2,132"
EBITDA(In $M),PFG,"2,314","2,522","2,419"
Net Profit(In $M),PFG,"1,631","1,779","1,893"
Net Profit Adjusted(In $M),PFG,"1,631","1,782","1,895"
Pre-Tax Profit(In $M),PFG,"1,990","2,171","2,319"
Net Profit (Adjusted)(In $M),PFG,"1,995","2,200","2,242"
EPS (Non-GAAP) ex. SOE(In $),PFG,6.67,7.48,8.13
EPS (GAAP)(In $),PFG,5.41,7.37,7.99
Gross Income(In $M),PFG,-,-,-
Cash Flow from Investing(In $M),PFG,-,-,-
Cash Flow from Operations(In $M),PFG,"2,583","2,829",-
Cash Flow from Financing(In $M),PFG,-,-,-
Cash Flow per Share(In $),PFG,10.54,11.86,-
Free Cash Flow(In $M),PFG,148,147,-
Free Cash Flow per Share(In $),PFG,5.78,-,-
Book Value per Share(In $),PFG,56.20,58.71,57.24
Net Debt(In $M),PFG,"4,713","4,713","4,713"
Research & Development Exp.(In $M),PFG,-,-,-
Capital Expenditure(In $M),PFG,-,-,-
"Selling, General & Admin. Exp.(In $M)",PFG,-,-,-
Shareholder’s Equity(In $M),PFG,"12,926","13,320","13,013"
Total Assets(In $M),PFG,"296,869","304,591","312,760"
