,ticker,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Cash and cash equivalents(figures in $M),PH,535.799,733.117,685.514,3219.767
Other short-term investments(figures in $M),PH,27.862,39.116,70.805,150.931
Total cash(figures in $M),PH,563.661,772.233,756.319,3370.698
Net receivables(figures in $M),PH,2341.504,2183.594,1854.398,2131.054
Inventory(figures in $M),PH,2214.553,2090.642,1814.631,1678.132
Total current assets(figures in $M),PH,12046.644,5616.75,4885.204,7673.086
"Gross property, plant and equipment(figures in $M)",PH,5897.955,6040.22,5810.681,5186.73
Accumulated depreciation(figures in $M),PH,-3775.197,-3773.744,-3517.946,-3418.443
"Net property, plant and equipment(figures in $M)",PH,2122.758,2266.476,2292.735,1768.287
Equity and other investments(figures in $M),PH,788.057,774.239,764.563,747.773
Goodwill(figures in $M),PH,7740.082,8059.687,7869.935,5453.805
Intangible assets(figures in $M),PH,3135.817,3519.797,3798.913,1783.277
Other long-term assets(figures in $M),PH,0.0,0.0,0.0,747.773
Total non-current assets(figures in $M),PH,13897.299,14724.45,14852.985,9903.604
Total assets(figures in $M),PH,25943.943,20341.2,19738.189,17576.69
Current debt(figures in $M),PH,1724.31,2.824,809.529,587.014
Accounts payable(figures in $M),PH,1731.925,1667.878,1111.759,1413.155
Accrued liabilities(figures in $M),PH,2152.791,1189.417,1031.771,984.292
Total current liabilities(figures in $M),PH,5859.318,3096.503,3148.373,3151.773
Long-term debt(figures in $M),PH,9755.825,6582.053,7652.256,6520.831
Deferred tax liabilities(figures in $M),PH,307.044,553.981,382.528,193.066
Other long-term liabilities(figures in $M),PH,521.897,639.355,539.089,438.489
Total non-current liabilities(figures in $M),PH,11224.705,8831.027,10461.287,8456.765
Total liabilities(figures in $M),PH,17084.023,11927.53,13609.66,11608.538
Common stock(figures in $M),PH,90.523,90.523,90.523,90.523
Retained earnings(figures in $M),PH,15661.808,14915.497,13530.666,12777.538
Accumulated other comprehensive income(figures in $M),PH,-1543.198,-1566.727,-2558.875,-2059.048
Total stockholders' equity(figures in $M),PH,8848.011,8398.307,6113.983,5961.969
Total liabilities and stockholders' equity(figures in $M),PH,25943.943,20341.2,19738.189,17576.69
