,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),PKI,454.358,618.319,402.036,191.877
Total cash(figures in $M),PKI,454.358,618.319,402.036,191.877
Net receivables(figures in $M),PKI,612.78,1023.792,1205.08,725.184
Inventory(figures in $M),PKI,405.462,624.714,514.567,356.937
Other current assets(figures in $M),PKI,122.254,173.955,167.208,100.523
Total current assets(figures in $M),PKI,3297.821,2440.78,2288.891,1374.521
"Gross property, plant and equipment(figures in $M)",PKI,671.301,753.38,1025.433,868.856
Accumulated depreciation(figures in $M),PKI,-374.193,-521.168,-449.893,-383.357
"Net property, plant and equipment(figures in $M)",PKI,671.301,753.38,575.54,485.499
Goodwill(figures in $M),PKI,6481.768,7416.584,3447.114,3111.227
Intangible assets(figures in $M),PKI,3377.174,4063.104,1365.693,1283.286
Other long-term assets(figures in $M),PKI,298.787,341.706,333.048,290.032
Total non-current assets(figures in $M),PKI,10829.03,12574.774,5721.395,5170.044
Total assets(figures in $M),PKI,14126.851,15015.554,8010.286,6544.565
Current debt(figures in $M),PKI,470.929,4.24,380.948,9.974
Accounts payable(figures in $M),PKI,272.826,355.458,327.325,235.855
Taxes payable(figures in $M),PKI,45.625,90.963,97.406,29.876
Accrued liabilities(figures in $M),PKI,578.301,870.65,991.714,520.892
Deferred revenues(figures in $M),PKI,135.531,303.509,393.645,164.261
Other current liabilities(figures in $M),PKI,244.448,0.0,2.173,2.112
Total current liabilities(figures in $M),PKI,1566.504,1230.348,1702.16,768.833
Long-term debt(figures in $M),PKI,3923.347,4979.737,1609.701,2064.041
Deferred tax liabilities(figures in $M),PKI,1109.181,1480.469,0.0,0.0
Other long-term liabilities(figures in $M),PKI,1072.12,1489.865,774.531,751.468
Total non-current liabilities(figures in $M),PKI,5167.471,6654.961,2572.634,2961.908
Total liabilities(figures in $M),PKI,6733.975,7885.309,4274.794,3730.741
Common stock(figures in $M),PKI,126.3,126.241,112.09,111.14
Retained earnings(figures in $M),PKI,4951.018,4417.174,3507.262,2811.973
Accumulated other comprehensive income(figures in $M),PKI,-447.497,-162.692,-31.961,-199.646
Total stockholders' equity(figures in $M),PKI,7392.876,7130.245,3735.492,2813.824
Total liabilities and stockholders' equity(figures in $M),PKI,14126.851,15015.554,8010.286,6544.565
