,headline,final_score,datetime
1,"PerkinElmer Inc. stock rises Thursday, outperforms market",86,2023-05-04 10:18:00
2,PerkinElmer (PKI) Expected to Beat Earnings Estimates: Can the Stock Move Higher?,57,2023-05-04 07:00:02
3,"PerkinElmer Inc. stock rises Wednesday, outperforms market",86,2023-05-03 10:18:00
5,PerkinElmer Inc. stock underperforms Tuesday when compared to competitors,86,2023-05-02 10:17:00
6,PerkinElmer Inc. stock underperforms Monday when compared to competitors,86,2023-05-01 10:17:00
8,"PerkinElmer Inc. stock rises Friday, outperforms market",86,2023-04-28 10:17:00
9,Will PerkinElmer (PKI) Beat Estimates Again in Its Next Earnings Report?,57,2023-04-28 09:10:04
11,Perkinelmer (PKI) Declares $0.07 Dividend,57,2023-04-27 15:10:06
12,PerkinElmer Inc. stock underperforms Thursday when compared to competitors,86,2023-04-27 10:19:00
16,PerkinElmer Inc. stock outperforms competitors despite losses on the day,86,2023-04-25 10:17:00
18,"PerkinElmer Inc. stock rises Monday, outperforms market",86,2023-04-24 10:18:00
20,"PerkinElmer Inc. stock falls Thursday, underperforms market",86,2023-04-20 10:17:00
22,PerkinElmer Inc. stock outperforms market on strong trading day,86,2023-04-19 10:17:00
25,"PerkinElmer Inc. stock falls Monday, underperforms market",86,2023-04-17 10:17:00
27,PerkinElmer Inc. stock outperforms competitors on strong trading day,86,2023-04-11 10:17:00
30,"Should You Think About Buying PerkinElmer, Inc. (NYSE:PKI) Now?",86,2023-04-10 04:35:58
31,"PerkinElmer Inc. stock rises Thursday, still underperforms market",86,2023-04-06 10:17:00
32,Here’s Why Renaissance Large Cap Growth Strategy Sold PerkinElmer (PKI),60,2023-04-05 02:07:45
33,"PerkinElmer Inc. stock rises Tuesday, outperforms market",86,2023-04-04 10:17:00
34,"PerkinElmer Inc. stock rises Wednesday, still underperforms market",86,2023-03-29 10:17:00
35,Here's Why You Should Retain PerkinElmer (PKI) Stock Now,57,2023-03-24 08:47:03
38,PerkinElmer Inc. stock outperforms market despite losses on the day,86,2023-03-22 10:17:00
43,"PerkinElmer Inc. stock falls Friday, underperforms market",86,2023-03-17 10:17:00
44,PerkinElmer Inc. stock underperforms Thursday when compared to competitors despite daily gains,86,2023-03-16 10:17:00
45,May 19th Options Now Available For PerkinElmer (PKI),60,2023-03-16 03:41:00
48,Video: S&P 500 Analyst Moves: PKI,60,2023-03-13 04:44:00
50,"Declining Stock and Decent Financials: Is The Market Wrong About PerkinElmer, Inc. (NYSE:PKI)?",86,2023-03-11 05:30:23
51,"PerkinElmer Inc. stock falls Thursday, still outperforms market",86,2023-03-09 09:17:00
53,PerkinElmer Inc. (PKI) Presents at Cowen 43rd Annual Health Care Conference (Transcript),86,2023-03-09 03:18:02
54,"Exact upgraded, Guardant downgraded as Citi revisits diagnostics coverage",55,2023-03-08 23:35:00
56,"PerkinElmer Inc. stock falls Wednesday, underperforms market",86,2023-03-08 09:17:00
