,2022,2021,2020,2019,2018,ticker
Current ratio,7.595,23.156,11.099,2.095,3.675,PLL
Quick ratio,7.595,22.955,11.084,2.079,3.657,PLL
Cash ratio,7.400,22.955,11.008,2.067,3.639,PLL
Days of sales outstanding,0,0,0,0,0,PLL
Days of inventory outstanding,0,0,0,0,0,PLL
Days of payables outstanding,0,0,0,0,0,PLL
Gross profit margin,0,0,0,0,0,PLL
Operating profit margin,0,0,0,0,0,PLL
Pretax profit margin,0,0,0,0,0,PLL
Net profit margin,0,0,0,0,0,PLL
Effective tax rate,-0.319,-0.013,0.114,0.061,0.024,PLL
Return on assets,-0.045,-0.107,-0.182,-1.360,-1.206,PLL
Return on equity,-0.048,-0.112,-0.209,-1.989,-1.602,PLL
Return on capital employed,-0.145,-0.109,-0.238,-2.246,-1.680,PLL
Net income per EBT,1.319,1.013,0.886,0.939,0.976,PLL
Ebt per ebit,0.247,1.010,0.920,0.943,0.977,PLL
Ebit per revenue,0,0,0,0,0,PLL
Debt ratio,0.061,0.040,0.131,0.316,0.247,PLL
Debt equity ratio,0.007,0.014,0.108,0,0,PLL
Long term debt to capitalization,0.005,0.007,0.073,0,0,PLL
Total debt to capitalization,0.007,0.013,0.097,0,0,PLL
Interest coverage,-345.481,-102.118,-39.182,17.466,42.870,PLL
Cash flow to debt ratio,-13.996,-6.630,-2.697,0,0,PLL
Company equity multiplier,1.065,1.041,1.151,1.462,1.328,PLL
Receivables turnover,0,0,0,0,0,PLL
Payables turnover,0,0,0,0,0,PLL
Inventory turnover,0,0,0,0,0,PLL
Fixed asset turnover,0,0,0,0,0,PLL
Asset turnover,0,0,0,0,0,PLL
Operating cash flow per share,-1.510,-0.020,-0.008,-0.016,-0.015,PLL
Free cash flow per share,-2.979,-0.042,-0.013,-0.018,-0.016,PLL
Cash per share,5.693,0.172,0.023,0.007,0.014,PLL
Payout ratio,0,0,0,0,0,PLL
Operating cash flow sales ratio,0,0,0,0,0,PLL
Free cash flow operating cash flow ratio,1.973,2.120,1.490,1.157,1.075,PLL
Cash flow coverage ratios,-13.996,-6.630,-2.697,0,0,PLL
Short term coverage ratios,-48.119,-13.265,-9.887,0,0,PLL
Capital expenditure coverage ratio,1.028,0.893,2.041,6.380,13.406,PLL
Dividend paid and capex coverage ratio,1.028,0.893,2.041,6.380,13.406,PLL
Dividend payout ratio,0,0,0,0,0,PLL
Price book value ratio,2.853,358.872,198.857,1.573 K,1.200 K,PLL
Price to book ratio,2.853,358.872,198.857,1.573 K,1.200 K,PLL
Price to sales ratio,0,0,0,0,0,PLL
Price earnings ratio,-59.433,-3.207 K,-951.607,-790.709,-749.292,PLL
Price to free cash flows ratio,-14.778,-1.879 K,-459.902,-642.895,-893.901,PLL
Price to operating cash flows ratio,-29.156,-3.982 K,-685.208,-743.657,-960.579,PLL
Price cash flow ratio,-29.156,-3.982 K,-685.208,-743.657,-960.579,PLL
Price earnings to growth ratio,0.020,10.691,-16.188,-37.913,4.087,PLL
Price sales ratio,0,0,0,0,0,PLL
Dividend yield,0,0,0,0,0,PLL
Enterprise value multiple,-70.487,-3.233 K,-783.737,-700.331,-713.714,PLL
Price fair value,2.853,358.872,198.857,1.573 K,1.200 K,PLL
