,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),PM,3207.0,4496.0,7280.0,6861.0
Total cash(figures in $M),PM,3207.0,4496.0,7280.0,6861.0
Net receivables(figures in $M),PM,3850.0,3123.0,2905.0,3080.0
Inventory(figures in $M),PM,9886.0,8720.0,9591.0,9235.0
Other current assets(figures in $M),PM,16412.0,13221.0,14212.0,13653.0
Total current assets(figures in $M),PM,19619.0,17717.0,21492.0,20514.0
"Gross property, plant and equipment(figures in $M)",PM,15443.0,14732.0,14909.0,14446.0
Accumulated depreciation(figures in $M),PM,-8733.0,-8564.0,-8544.0,-7815.0
"Net property, plant and equipment(figures in $M)",PM,6710.0,6168.0,6365.0,6631.0
Equity and other investments(figures in $M),PM,4431.0,4463.0,4798.0,4635.0
Goodwill(figures in $M),PM,19655.0,6680.0,5964.0,5858.0
Intangible assets(figures in $M),PM,6732.0,2818.0,2019.0,2113.0
Other long-term assets(figures in $M),PM,4534.0,3444.0,4177.0,3124.0
Total non-current assets(figures in $M),PM,42062.0,23573.0,23323.0,22361.0
Total assets(figures in $M),PM,61681.0,41290.0,44815.0,42875.0
Current debt(figures in $M),PM,8248.0,3023.0,3368.0,4389.0
Accounts payable(figures in $M),PM,4076.0,3331.0,2780.0,2299.0
Taxes payable(figures in $M),PM,1040.0,1025.0,1091.0,796.0
Accrued liabilities(figures in $M),PM,3374.0,2448.0,2904.0,2639.0
Other current liabilities(figures in $M),PM,19088.0,16232.0,16247.0,14444.0
Total current liabilities(figures in $M),PM,27336.0,19255.0,19615.0,18833.0
Long-term debt(figures in $M),PM,34875.0,24783.0,28168.0,26656.0
Deferred tax liabilities(figures in $M),PM,1956.0,726.0,684.0,908.0
Other long-term liabilities(figures in $M),PM,3825.0,4734.0,6979.0,6077.0
Total non-current liabilities(figures in $M),PM,40656.0,30243.0,35831.0,33641.0
Total liabilities(figures in $M),PM,67992.0,49498.0,55446.0,52474.0
Common stock(figures in $M),PM,0.0,0.0,0.0,0.0
Retained earnings(figures in $M),PM,34289.0,33082.0,31638.0,30987.0
Accumulated other comprehensive income(figures in $M),PM,-9559.0,-9577.0,-11181.0,-9363.0
Total stockholders' equity(figures in $M),PM,-8957.0,-10106.0,-12567.0,-11577.0
Total liabilities and stockholders' equity(figures in $M),PM,61681.0,41290.0,44815.0,42875.0
