,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PM,"35,574","37,996","40,658","46,728","53,559"
Dividend,PM,5.16,5.35,5.64,5.68,5.86
Dividend Yield (in %),PM,5.31 %,5.54 %,5.76 %,-,-
EPS,PM,6.23,6.83,7.57,8.86,10.35
P/E Ratio,PM,15.41,14.05,12.68,10.84,9.27
EBIT(In $M),PM,"13,947","15,279","16,663","18,844","21,675"
EBITDA(In $M),PM,"15,133","16,484","17,963","20,901","23,657"
Net Profit(In $M),PM,"9,609","10,566","11,647","13,698","15,751"
Net Profit Adjusted(In $M),PM,"9,612","10,573","11,671","13,698","15,751"
Pre-Tax Profit(In $M),PM,"12,615","13,928","15,277","17,680","20,301"
Net Profit (Adjusted)(In $M),PM,"12,512","13,853","15,230","17,680","20,301"
EPS (Non-GAAP) ex. SOE(In $),PM,6.23,6.83,7.57,8.86,10.35
EPS (GAAP)(In $),PM,6.16,6.80,7.47,8.86,10.19
Gross Income(In $M),PM,"22,588","24,481","26,144",-,-
Cash Flow from Investing(In $M),PM,"1,177","1,792","1,726",-,-
Cash Flow from Operations(In $M),PM,"10,663","12,041","13,008",-,-
Cash Flow from Financing(In $M),PM,"-8,099","-8,719","-10,246",-,-
Cash Flow per Share(In $),PM,6.98,7.73,8.58,10.11,11.65
Free Cash Flow(In $M),PM,"9,573","10,959","12,027",-,-
Free Cash Flow per Share(In $),PM,-,-,-,-,-
Book Value per Share(In $),PM,-5.26,-3.78,1.79,1.10,5.44
Net Debt(In $M),PM,"39,298","36,851","34,606","30,188","23,177"
Research & Development Exp.(In $M),PM,-,-,-,-,-
Capital Expenditure(In $M),PM,"1,270","1,227","1,265","1,380","1,407"
"Selling, General & Admin. Exp.(In $M)",PM,-,"8,974","8,671",-,-
Shareholder’s Equity(In $M),PM,"-6,065","-4,732","-2,535","1,697","8,397"
Total Assets(In $M),PM,"63,242","63,881","64,614",-,-
