,2022,2021,2020,2019,2018,ticker
Current ratio,0.993,0.883,0.881,0.496,0.561,PNW
Quick ratio,0.348,0.295,0.362,0.201,0.247,PNW
Cash ratio,0.003,0.006,0.044,0.005,0.003,PNW
Days of sales outstanding,51.342,48.752,44.039,42.917,39.651,PNW
Days of inventory outstanding,62.865,63.617,62.499,63.644,50.805,PNW
Operating cycle,114.207,112.368,106.538,106.561,90.456,PNW
Days of payables outstanding,60.046,68.107,59.561,63.741,47.910,PNW
Cash conversion cycle,54.162,44.261,46.976,42.820,42.546,PNW
Gross profit margin,0.395,0.446,0.456,0.428,0.428,PNW
Operating profit margin,0.169,0.212,0.220,0.194,0.210,PNW
Pretax profit margin,0.133,0.196,0.181,0.156,0.180,PNW
Net profit margin,0.112,0.163,0.153,0.155,0.138,PNW
Effective tax rate,0.130,0.148,0.121,-0.029,0.202,PNW
Return on assets,0.021,0.028,0.027,0.029,0.029,PNW
Return on equity,0.080,0.105,0.098,0.099,0.098,PNW
Return on capital employed,0.035,0.040,0.042,0.041,0.048,PNW
Net income per EBT,0.840,0.829,0.849,0.993,0.769,PNW
Ebt per ebit,0.787,0.926,0.822,0.807,0.859,PNW
Ebit per revenue,0.169,0.212,0.220,0.194,0.210,PNW
Debt ratio,0.729,0.726,0.713,0.699,0.697,PNW
Debt equity ratio,1.468,1.386,1.228,1.070,0.998,PNW
Long term debt to capitalization,0.581,0.564,0.542,0.474,0.470,PNW
Total debt to capitalization,0.595,0.581,0.551,0.517,0.500,PNW
Interest coverage,2.864,3.452,3.442,3.101,3.544,PNW
Cash flow to debt ratio,0.140,0.105,0.140,0.165,0.245,PNW
Company equity multiplier,3.757,3.725,3.554,3.403,3.382,PNW
Receivables turnover,7.109,7.487,8.288,8.505,9.205,PNW
Payables turnover,6.079,5.359,6.128,5.726,7.618,PNW
Inventory turnover,5.806,5.737,5.840,5.735,7.184,PNW
Fixed asset turnover,0.249,0.229,0.233,0.241,0.268,PNW
Asset turnover,0.190,0.173,0.179,0.188,0.209,PNW
Operating cash flow per share,10.967,7.617,8.577,8.509,11.390,PNW
Free cash flow per share,-4.117,-5.433,-3.197,-2.087,0.883,PNW
Cash per share,0.043,0.088,0.532,0.091,0.051,PNW
Payout ratio,0.783,0.597,0.637,0.612,0.604,PNW
Operating cash flow sales ratio,0.287,0.226,0.269,0.276,0.346,PNW
Free cash flow operating cash flow ratio,-0.375,-0.713,-0.373,-0.245,0.077,PNW
Cash flow coverage ratios,0.140,0.105,0.140,0.165,0.245,PNW
Short term coverage ratios,2.500,1.585,3.964,1.032,2.216,PNW
Capital expenditure coverage ratio,-0.727,-0.584,-0.728,-0.803,-1.084,PNW
Dividend paid and capex coverage ratio,-0.934,-0.779,-0.990,-1.110,-1.469,PNW
Dividend payout ratio,0.783,0.597,0.637,0.612,0.604,PNW
Price book value ratio,1.423,1.349,1.599,1.862,1.829,PNW
Price to book ratio,1.423,1.349,1.599,1.862,1.829,PNW
Price to sales ratio,1.990,2.095,2.511,2.913,2.588,PNW
Price earnings ratio,17.799,12.882,16.361,18.784,18.694,PNW
Price to free cash flows ratio,-18.469,-12.992,-25.006,-43.081,96.523,PNW
Price to operating cash flows ratio,6.933,9.268,9.321,10.569,7.480,PNW
Price cash flow ratio,6.933,9.268,9.321,10.569,7.480,PNW
Price earnings to growth ratio,-0.806,1.068,7.837,3.724,4.300,PNW
Price sales ratio,1.990,2.095,2.511,2.913,2.588,PNW
Dividend yield,0.044,0.046,0.039,0.033,0.032,PNW
Enterprise value multiple,10.762,10.164,10.884,12.072,9.963,PNW
Price fair value,1.423,1.349,1.599,1.862,1.829,PNW
