,2019,2018,2017,2016,2015,ticker
Current ratio,0.989,1.172,1.096,0.922,0.521,POM
Quick ratio,0.223,0.593,0.581,0.424,0.382,POM
Cash ratio,0.223,0.118,0.083,0.047,0.011,POM
Days of sales outstanding,0,46.729,47.907,48.395,60.967,POM
Days of inventory outstanding,0,3.241,3.953,4.591,294.086,POM
Operating cycle,0,49.970,51.860,52.986,355.052,POM
Days of payables outstanding,2.497,83.203,91.855,99.364,365,POM
Cash conversion cycle,-2.497,-33.233,-39.995,-46.378,-9.948,POM
Gross profit margin,0.550,0.537,0.581,0.597,0.965,POM
Operating profit margin,0.127,0.108,0.127,0.099,0.134,POM
Pretax profit margin,0.116,0.062,0.112,0.063,0.089,POM
Net profit margin,0.088,0.011,0.080,0.036,0.065,POM
Effective tax rate,0,0.054,-0.033,0.383,0.289,POM
Return on assets,0.449,0.003,0.023,0.010,0.020,POM
Return on equity,0.284,0.013,0.090,0.044,0.074,POM
Return on capital employed,0.727,0.036,0.040,0.031,0.048,POM
Net income per EBT,0.760,0.178,0.717,0.570,0.732,POM
Ebt per ebit,0.911,0.573,0.882,0.639,0.664,POM
Ebit per revenue,0.127,0.108,0.127,0.099,0.134,POM
Debt ratio,0.515,0.743,0.744,0.775,0.730,POM
Debt equity ratio,0.063,1.151,1.148,1.316,1.122,POM
Long term debt to capitalization,0.048,0.526,0.519,0.550,0.513,POM
Total debt to capitalization,0.059,0.535,0.534,0.568,0.529,POM
Interest coverage,2.749,2.549,2.795,2.082,2.404,POM
Cash flow to debt ratio,0.126,0.244,0.218,0.248,0.190,POM
Company equity multiplier,0.632,3.890,3.909,4.447,3.700,POM
Receivables turnover,0,7.811,7.619,7.542,5.987,POM
Payables turnover,146.198,4.387,3.974,3.673,1,POM
Inventory turnover,0,112.635,92.336,79.497,1.241,POM
Fixed asset turnover,5.719,0.469,0.452,0.438,0.444,POM
Asset turnover,5.106,0.301,0.287,0.273,0.308,POM
Operating cash flow per share,0.087,8.939,7.899,9.140,3.711,POM
Free cash flow per share,0.087,1.086,-0.110,-0.117,-1.150,POM
Cash per share,0.168,2.226,1.979,1.680,0.170,POM
Payout ratio,0.074,3.347,0.459,1.028,0.841,POM
Operating cash flow sales ratio,0.002,0.240,0.223,0.269,0.187,POM
Free cash flow operating cash flow ratio,1,0.121,-0.014,-0.013,-0.310,POM
Cash flow coverage ratios,0.126,0.244,0.218,0.248,0.190,POM
Short term coverage ratios,0.654,6.408,3.582,3.475,3.194,POM
Capital expenditure coverage ratio,0,-1.138,-0.986,-0.987,-0.763,POM
Dividend paid and capex coverage ratio,0.379,-1.380,-1.178,-1.143,-0.983,POM
Dividend payout ratio,0.074,3.347,0.459,1.028,0.841,POM
Price book value ratio,475.463,211.830,338.395,193.764,1.491,POM
Price to book ratio,475.463,211.830,338.395,193.764,1.491,POM
Price to sales ratio,147.410,181.096,301.317,159.639,1.310,POM
Price earnings ratio,1.677 K,16.374 K,3.750 K,4.415 K,20.124,POM
Price to free cash flows ratio,59.724 K,6.206 K,-97.149 K,-46.355 K,-22.614,POM
Price to operating cash flows ratio,59.724 K,753.903,1.351 K,592.811,7.008,POM
Price cash flow ratio,59.724 K,753.903,1.351 K,592.811,7.008,POM
Price earnings to growth ratio,2.555,-191.434,28.456,-874.916,0.591,POM
Price sales ratio,147.410,181.096,301.317,159.639,1.310,POM
Dividend yield,0.000,0.000,0.000,0.000,0.042,POM
Enterprise value multiple,991.414,817.013,1.065 K,562.085,8.283,POM
Price fair value,475.463,211.830,338.395,193.764,1.491,POM
