,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PSA,"4,447","4,674","4,437","5,351","5,663"
Dividend,PSA,12.02,12.50,12.70,12.00,12.00
Dividend Yield (in %),PSA,4.00 %,4.22 %,4.43 %,4.17 %,4.17 %
EPS,PSA,11.43,12.21,13.36,13.26,14.14
P/E Ratio,PSA,24.71,23.15,21.16,21.31,19.98
EBIT(In $M),PSA,"2,327","2,458","2,657",-,-
EBITDA(In $M),PSA,"3,282","3,459","3,721",-,-
Net Profit(In $M),PSA,"2,064","2,199","2,322","2,538","2,693"
Net Profit Adjusted(In $M),PSA,"2,065","2,190","2,322","2,538","2,693"
Pre-Tax Profit(In $M),PSA,"2,199","2,333","2,473","2,617","2,805"
Net Profit (Adjusted)(In $M),PSA,"2,217","2,326",-,-,-
EPS (Non-GAAP) ex. SOE(In $),PSA,11.36,11.98,-,-,-
EPS (GAAP)(In $),PSA,11.36,12.05,13.23,-,-
Gross Income(In $M),PSA,"3,351","3,486","3,866","3,961","4,198"
Cash Flow from Investing(In $M),PSA,-,-,-,-,-
Cash Flow from Operations(In $M),PSA,"3,183","3,334",-,-,-
Cash Flow from Financing(In $M),PSA,-,-,-,-,-
Cash Flow per Share(In $),PSA,17.33,18.35,18.97,-,-
Free Cash Flow(In $M),PSA,"2,856","3,092",-,-,-
Free Cash Flow per Share(In $),PSA,-,-,-,-,-
Book Value per Share(In $),PSA,56.98,57.03,-,-,-
Net Debt(In $M),PSA,"6,865","7,596","8,327",-,-
Research & Development Exp.(In $M),PSA,-,-,-,-,-
Capital Expenditure(In $M),PSA,478,454,"1,002",-,-
"Selling, General & Admin. Exp.(In $M)",PSA,106,108,-,-,-
Shareholder’s Equity(In $M),PSA,"9,131","9,165","7,576",-,-
Total Assets(In $M),PSA,"18,247","18,380","19,145",-,-
