,headline,final_score,datetime
1,RBC Capital Maintains Phillips 66 (PSX) Outperform Recommendation,90,2023-05-04 15:57:41
2,Wells Fargo Maintains Phillips 66 (PSX) Overweight Recommendation,90,2023-05-04 09:18:39
3,"Phillips 66 (PSX) Q1 Earnings Beat Estimates, Revenues Fall Y/Y",90,2023-05-04 09:10:04
4,Phillips 66 (PSX) Gets a Buy from Wells Fargo,90,2023-05-04 00:26:00
5,Q1 2023 Phillips 66 Earnings Call,90,2023-05-03 23:14:57
6,"Phillips 66 stock falls Thursday, underperforms market",90,2023-05-03 21:21:00
7,Phillips 66 (PSX) Q1 2023 Earnings Call Transcript,90,2023-05-03 12:30:19
8,"Phillips 66 stock rises Wednesday, outperforms market",90,2023-05-03 10:20:00
10,Phillips 66 joins rivals to beat profit estimates as refining margins soar,90,2023-05-03 07:14:11
11,Here's What Key Metrics Tell Us About Phillips 66 (PSX) Q1 Earnings,90,2023-05-03 06:30:01
12,Phillips 66 (PSX) Q1 Earnings and Revenues Beat Estimates,90,2023-05-03 05:35:12
13,Phillips 66 2023 Q1 - Results - Earnings Call Presentation,90,2023-05-03 05:09:26
14,UPDATE 3-Phillips 66 joins rivals to beat profit estimates as refining margins soar,90,2023-05-03 04:09:09
15,Refiner Phillips 66 joins rivals to beat profit estimates on soaring margins,90,2023-05-03 04:05:55
16,Phillips 66 Reports First-Quarter 2023 Financial Results,90,2023-05-03 04:00:00
17,Phillips 66: Q1 Earnings Snapshot,90,2023-05-03 00:30:00
18,"Phillips 66 reports Q1 EPS $4.21, consensus $3.56",90,2023-05-02 23:10:00
19,Phillips 66 Non-GAAP EPS of $4.21 beats by $0.65,90,2023-05-02 23:02:00
20,"Phillips 66 sees refineries running in mid-90s in Q2, outpacing rivals",90,2023-05-02 20:02:00
22,"Phillips 66 stock falls Tuesday, underperforms market",90,2023-05-02 10:19:00
23,Phillips 66: The Importance Of The Chemicals Segment,90,2023-05-02 04:26:27
24,"Phillips 66 Q1 2023 earnings on deck, what to expect",90,2023-05-02 03:37:00
25,Phillips 66 to Host Annual Meeting of Shareholders,90,2023-05-01 13:15:00
26,"Phillips 66 stock falls Monday, underperforms market",90,2023-05-01 10:19:00
28,"Phillips 66 stock rises Friday, outperforms market",90,2023-04-28 10:19:00
29,Phillips 66: Attractively Valued Refiner With Quality Yield,90,2023-04-28 09:52:39
30,Phillips 66 (PSX) to Report Q1 Earnings: What to Expect?,90,2023-04-28 08:56:03
34,Phillips 66 (PSX) Shares Cross Below 200 DMA,90,2023-04-27 03:28:00
35,Phillips 66 (PSX) Stock Moves -0.05%: What You Should Know,90,2023-04-26 14:45:09
36,Unusual Call Option Trade in Phillips 66 (PSX)  Worth $418.70K,90,2023-04-26 14:12:42
37,Unusual Put Option Trade in Phillips 66 (PSX)  Worth $281.01K,90,2023-04-26 14:12:19
38,"Phillips 66 stock falls Wednesday, still outperforms market",90,2023-04-26 10:19:00
39,Phillips 66 (PSX) Earnings Expected to Grow: Should You Buy?,90,2023-04-26 07:01:02
41,Phillips 66 stock outperforms market despite losses on the day,90,2023-04-25 10:19:00
44,"Phillips 66 stock rises Monday, outperforms market",90,2023-04-23 21:21:00
45,"Analysts Offer Insights on Utilities Companies: Imperial Oil (IMO), Phillips 66 (PSX) and Pioneer Natural (PXD)",60,2023-04-21 01:51:00
46,"Phillips 66 stock falls Friday, underperforms market",90,2023-04-20 21:20:00
47,Phillips 66 (PSX) Dips More Than Broader Markets: What You Should Know,90,2023-04-20 14:45:09
48,Phillips 66: A $4.20 Dividend (4% Yield) To Celebrate 420 Day,90,2023-04-20 05:03:47
51,"Phillips 66 stock falls Wednesday, underperforms market",90,2023-04-19 10:19:00
52,Phillips 66 (NYSE:PSX) is favoured by institutional owners who hold 74% of the company,90,2023-04-19 08:36:30
55,"Phillips 66 stock rises Tuesday, outperforms market",90,2023-04-18 10:19:00
56,ConocoPhillips: Refuting The Mizuho Downgrade,74,2023-04-18 03:32:33
58,Phillips 66 price target lowered to $120 from $130 at Wells Fargo,90,2023-04-17 22:28:00
59,Phillips 66 (PSX) Stock Moves -0.01%: What You Should Know,90,2023-04-14 14:45:09
60,"Phillips 66 stock falls Friday, still outperforms market",90,2023-04-14 10:19:00
61,"Phillips 66 stock rises Thursday, still underperforms market",90,2023-04-13 10:19:00
63,Phillips 66 (PSX) Stock Moves -0.4%: What You Should Know,90,2023-04-12 14:50:09
67,"Zacks.com featured highlights include W.W. Grainger, Olympic Steel, Sprouts Farmers Market, Veritiv and Phillips 66",60,2023-04-12 04:53:11
69,Mizuho Reiterates Phillips 66 (PSX) Neutral Recommendation,90,2023-04-11 14:43:07
70,Phillips 66 (PSX) Receives a Rating Update from a Top Analyst,90,2023-04-11 04:26:00
74,Phillips 66: The Shareholder-Friendly Cash Cow,90,2023-04-10 02:39:55
75,Phillips 66:��The Shareholder-Friendly Cash Cow,90,2023-04-10 01:43:00
77,Phillips 66 (PSX) Stock Sinks As Market Gains: What You Should Know,90,2023-04-06 14:45:09
79,Are Investors Undervaluing Phillips 66 (PSX) Right Now?,90,2023-04-06 06:40:01
80,Phillips 66 (PSX) Recently Broke Out Above the 50-Day Moving Average,90,2023-04-06 06:30:01
83,Fast-paced Momentum Stock Phillips 66 (PSX) Is Still Trading at a Bargain,90,2023-04-06 05:50:12
86,Downstream Energy Giant Phillips 66 (NYSE:PSX) to Benefit from OPEC+ Cut,90,2023-04-05 20:20:00
89,Should You Invest in Phillips 66 (PSX) Based on Bullish Wall Street Views?,90,2023-04-05 06:30:01
91,Why it is Worth Buying Phillips 66 (PSX) Stock Right Away,90,2023-04-05 04:13:11
93,Top Dividend Stock: Phillips 66 Back On Track After OPEC Cut And Dividend Hike,90,2023-04-04 07:02:13
94,Phillips 66 put volume heavy and directionally bearish,90,2023-04-03 19:55:00
97,Phillips 66 Begins Planned Maintenance at Texas Oil Refinery,90,2023-04-03 01:56:00
98,"Phillips 66 stock rises Friday, still underperforms market",90,2023-03-31 10:23:00
99,Phillips 66 Reports Excessive Emissions at Borger Refinery in Texas,90,2023-03-31 02:40:00
100,Phillips 66 (PSX) Outpaces Stock Market Gains: What You Should Know,90,2023-03-29 14:45:09
104,Phillips 66 (PSX) is Attracting Investor Attention: Here is What You Should Know,90,2023-03-28 06:00:01
106,Phillips 66 price target raised to $120 from $112 at JPMorgan,90,2023-03-27 20:51:00
110,Phillips 66 (PSX) Stock Moves -0.9%: What You Should Know,90,2023-03-22 14:45:09
112,"Phillips 66 stock remains steady Tuesday, underperforms market",90,2023-03-21 10:19:00
113,Huge Phillips 66 biofuels project will test the industry’s green promises,90,2023-03-21 03:09:31
