,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PWR,"18,660","20,253","22,102","24,933","27,024"
Dividend,PWR,0.26,0.27,0.25,-,-
Dividend Yield (in %),PWR,0.17 %,0.17 %,0.10 %,-,-
EPS,PWR,7.03,8.06,9.25,11.21,12.28
P/E Ratio,PWR,23.98,20.90,18.22,15.03,13.72
EBIT(In $M),PWR,-,-,"1,665","1,885","2,060"
EBITDA(In $M),PWR,"1,841","2,031","2,240","2,709","2,921"
Net Profit(In $M),PWR,-,-,-,"1,242","1,379"
Net Profit Adjusted(In $M),PWR,"1,048","1,196","1,345","1,662","1,820"
Pre-Tax Profit(In $M),PWR,"1,004","1,229","1,583","1,817",-
Net Profit (Adjusted)(In $M),PWR,997,"1,248","1,453",-,-
EPS (Non-GAAP) ex. SOE(In $),PWR,7.01,7.76,9.30,-,-
EPS (GAAP)(In $),PWR,4.93,5.96,7.21,7.30,-
Gross Income(In $M),PWR,"2,876","3,180","3,185","3,394",-
Cash Flow from Investing(In $M),PWR,-685,-498,-612,-,-
Cash Flow from Operations(In $M),PWR,"1,257","1,409","1,647","1,858","2,032"
Cash Flow from Financing(In $M),PWR,-175,-509,53,-,-
Cash Flow per Share(In $),PWR,9.84,11.18,11.47,-,-
Free Cash Flow(In $M),PWR,867,966,"1,130","1,303","1,428"
Free Cash Flow per Share(In $),PWR,5.56,5.99,6.86,-,-
Book Value per Share(In $),PWR,41.81,46.13,54.61,-,-
Net Debt(In $M),PWR,"2,914","2,122","1,184",381,-728
Research & Development Exp.(In $M),PWR,-,-,-,-,-
Capital Expenditure(In $M),PWR,401,456,522,623,676
"Selling, General & Admin. Exp.(In $M)",PWR,"1,489","1,612","1,362","1,532",-
Shareholder’s Equity(In $M),PWR,"6,091","6,756","7,838",-,-
Total Assets(In $M),PWR,"14,009","13,701",-,-,-
