,ticker,2023,2024,2025
Revenue(In $M),R,"12,255","12,833","13,847"
Dividend,R,2.56,2.62,3.04
Dividend Yield (in %),R,2.73 %,2.79 %,-
EPS,R,11.75,11.54,13.25
P/E Ratio,R,6.80,6.93,6.04
EBIT(In $M),R,924,"1,355","1,062"
EBITDA(In $M),R,"2,855","3,257","3,470"
Net Profit(In $M),R,554,511,610
Net Profit Adjusted(In $M),R,554,511,610
Pre-Tax Profit(In $M),R,754,695,847
Net Profit (Adjusted)(In $M),R,769,672,-
EPS (Non-GAAP) ex. SOE(In $),R,11.75,11.54,13.25
EPS (GAAP)(In $),R,10.88,11.26,-
Gross Income(In $M),R,"2,308","2,407",-
Cash Flow from Investing(In $M),R,"-2,051","-2,182",-
Cash Flow from Operations(In $M),R,"2,323","2,345",-
Cash Flow from Financing(In $M),R,-80,-175,-
Cash Flow per Share(In $),R,44.60,53.37,-
Free Cash Flow(In $M),R,280,285,-
Free Cash Flow per Share(In $),R,3.89,9.00,-
Book Value per Share(In $),R,67.94,74.45,-
Net Debt(In $M),R,"6,019","5,805","4,491"
Research & Development Exp.(In $M),R,-,-,-
Capital Expenditure(In $M),R,"2,898","2,740",-
"Selling, General & Admin. Exp.(In $M)",R,"1,456","1,465",-
Shareholder’s Equity(In $M),R,"3,141","3,415",-
Total Assets(In $M),R,"15,060","15,470",-
