,ticker,sentiment
2023-04-06 03:55:00,R,0.5423
2023-04-10 14:40:36,R,0.3612
2023-04-12 03:55:00,R,0.5423
2023-04-13 21:35:00,R,0.6369
2023-04-14 09:40:51,R,0.2382
2023-04-20 03:55:00,R,0.6597
2023-04-24 03:11:10,R,0.2732
2023-04-25 02:55:00,R,0.296
2023-04-25 23:15:00,R,0.6597
2023-04-26 00:05:00,R,-0.2263
2023-04-26 01:27:00,R,0.1779
2023-04-26 01:36:00,R,-0.3182
2023-04-26 10:59:16,R,-0.5994
2023-04-27 02:14:00,R,-0.128
2023-04-27 03:25:10,R,-0.3612
2023-04-28 05:32:38,R,0.25
2023-05-02 03:55:00,R,0.5423
