,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),RF,7210.0,7165.0,6438.0,6275.0,5904.0
Interest expense(figures in $M),RF,316.0,316.0,167.0,368.0,851.0
Income before tax(figures in $M),RF,2876.0,2876.0,3215.0,1314.0,1985.0
Income tax expense(figures in $M),RF,631.0,631.0,694.0,220.0,403.0
Income from continuing operations(figures in $M),RF,2245.0,2245.0,2521.0,1094.0,1582.0
Net income(figures in $M),RF,2245.0,2245.0,2521.0,1094.0,1582.0
Net income available to common shareholders(figures in $M),RF,2146.0,2146.0,2400.0,991.0,1503.0
Basic EPS(figures in $M),RF,,2.29e-06,2.5099999999999997e-06,1.03e-06,1.51e-06
Diluted EPS(figures in $M),RF,,2.2799999999999998e-06,2.4900000000000003e-06,1.03e-06,1.5e-06
Basic average shares(figures in $M),RF,,935.0,956.0,959.0,995.0
Diluted average shares(figures in $M),RF,,942.0,963.0,962.0,999.0
