,headline,final_score,datetime
0,Emerson Has Gone Almost All-In On Automation And The Valuation Looks Pretty Interesting,86,2023-05-05 01:30:00
1,Rockwell Automation Inc. stock outperforms market on strong trading day,86,2023-05-04 10:22:00
2,"Analysts Have Conflicting Sentiments on These Technology Companies: Blackbaud (BLKB), Intevac (IVAC) and Rockwell Automation (ROK)",86,2023-05-03 22:40:00
3,Rockwell Automation Inc. stock outperforms market despite losses on the day,86,2023-05-03 10:22:00
4,Rockwell Automation Helps Provide Sustainable and Traceable Raw Materials for EV Industry,86,2023-05-03 08:25:00
5,Rockwell Automation Inc. stock underperforms Tuesday when compared to competitors,86,2023-05-02 10:21:00
6,Rockwell Automation Named Leader in Gartner® 2023 Magic Quadrant™ for Manufacturing Execution Systems,86,2023-05-02 09:15:00
7,Rockwell Automation (ROK) Gets a Sell from J.P. Morgan,86,2023-05-02 00:15:00
8,"ROK Resources Announces Early Repayment of Term Loan, Reduction in Hedge Program and Lithium Update",60,2023-05-01 22:00:00
10,Wells Fargo Maintains Rockwell Automation (ROK) Underweight Recommendation,86,2023-05-01 10:40:21
11,Stephens & Co. Maintains Rockwell Automation (ROK) Equal-Weight Recommendation,86,2023-05-01 10:40:19
12,"Rockwell Automation Inc. stock falls Monday, underperforms market",86,2023-05-01 10:21:00
13,Is Now The Time To Put Rockwell Automation (NYSE:ROK) On Your Watchlist?,86,2023-04-29 07:34:52
14,Mizuho Maintains Rockwell Automation (ROK) Neutral Recommendation,86,2023-04-28 23:10:10
15,Barclays Maintains Rockwell Automation (ROK) Equal-Weight Recommendation,86,2023-04-28 12:43:30
16,Citigroup Maintains Rockwell Automation (ROK) Buy Recommendation,86,2023-04-28 12:43:28
17,"Rockwell Automation Inc. stock falls Friday, underperforms market",86,2023-04-28 10:21:00
18,Rockwell Automation (ROK): New Buy Recommendation for This Technology Giant,86,2023-04-28 04:26:00
19,ROK Crosses Above Average Analyst Target,60,2023-04-27 23:48:00
20,Rockwell Automation price target raised to $270 from $260 at Mizuho,86,2023-04-27 22:58:00
21,Rockwell Automation price target raised to $262 from $250 at Barclays,86,2023-04-27 21:47:00
22,Q2 2023 Rockwell Automation Inc Earnings Call,86,2023-04-27 20:48:06
23,"Analysts Offer Insights on Technology Companies: Rockwell Automation (ROK), Varonis Systems (VRNS) and Pinterest (PINS)",86,2023-04-27 20:41:00
24,Rockwell Automation Q2 Earnings Top Estimates On Higher Sales Volume; Boosts FY23 Forecast,86,2023-04-27 11:13:24
25,"Rockwell Automation (ROK) Tops Q2 Earnings Estimates, Ups View",86,2023-04-27 08:55:03
26,Rockwell Automation (ROK) Q2 Earnings: Taking a Look at Key Metrics Versus Estimates,86,2023-04-27 07:00:02
27,Rockwell Automation (ROK) Beats Q2 Earnings and Revenue Estimates,86,2023-04-27 05:25:12
28,Rockwell Automation Inc. (ROK) Q2 2023 Earnings Call Transcript,86,2023-04-27 05:25:02
29,Rockwell Automation Reports Second Quarter 2023 Results; Updates Fiscal 2023 Guidance,86,2023-04-27 04:00:00
30,"Rockwell Crushes Earnings, and the Stock Is Up. It Has an Ace Up Its Sleeve.",86,2023-04-27 02:47:00
31,Rockwell Automation: Fiscal Q2 Earnings Snapshot,86,2023-04-27 00:16:00
32,Rockwell raises FY23 adjusted EPS view to $11.50-$12.20 from $10.70-$11.50,86,2023-04-26 23:29:00
33,"Rockwell Automation reports Q2 adjusted EPS $3.01, consensus $2.61",86,2023-04-26 23:27:00
34,"Rockwell Automation Non-GAAP EPS of $3.01 beats by $0.41, revenue of $2.28B beats by $190M",86,2023-04-26 23:21:00
35,Rockwell Automation (ROK): New Sell Recommendation for This Technology Giant,86,2023-04-26 19:55:00
37,Rockwell Automation to Present at Oppenheimer 18th Annual Industrial Growth Conference,86,2023-04-26 04:00:00
39,Rockwell Automation Inc. stock outperforms competitors despite losses on the day,86,2023-04-25 21:22:00
40,Rockwell Automation Q2 2023 Earnings Preview,86,2023-04-25 20:08:00
