,headline,final_score,datetime
0,"Ross Stores, Inc. Announces First Quarter 2023 Earnings Release and Conference Call",90,2023-05-04 13:01:00
1,Ross Stores Inc. stock underperforms Thursday when compared to competitors,86,2023-05-04 10:22:00
2,"Ross Stores Inc. stock falls Wednesday, underperforms market",86,2023-05-03 10:22:00
4,Ross Stores Inc. stock outperforms market despite losses on the day,86,2023-05-02 10:21:00
5,Why Ross Stores (ROST) is Poised to Beat Earnings Estimates Again,86,2023-05-02 09:10:04
6,Why Ross Stores (ROST) is a Top Value Stock for the Long-Term,86,2023-05-02 06:40:01
8,Ross Stores price target lowered to $122 from $139 at Barclays,86,2023-05-02 01:40:00
9,"Bed Bath closures an opportunity for Burlington, Ross and TJX, says BofA",86,2023-05-01 23:39:00
10,"Ross Stores Inc. stock falls Monday, underperforms market",86,2023-05-01 10:21:00
11,"Ross Stores Inc. stock rises Friday, outperforms market",86,2023-04-28 10:21:00
12,Bed Bath & Beyond store closures will kick off a land grab for fast-growing retailers,51,2023-04-28 00:00:01
13,"Ross Stores Inc. stock rises Thursday, still underperforms market",86,2023-04-27 10:23:00
14,"An Intrinsic Calculation For Ross Stores, Inc. (NASDAQ:ROST) Suggests It's 33% Undervalued",90,2023-04-27 04:17:24
15,Ross Stores Inc. stock outperforms market on strong trading day,86,2023-04-26 10:21:00
16,Ross Stores Inc. stock outperforms competitors despite losses on the day,86,2023-04-25 10:21:00
17,"Ross Stores Inc. stock rises Monday, still underperforms market",86,2023-04-24 10:22:00
19,"Ross Stores Inc. stock rises Thursday, outperforms market",86,2023-04-20 10:21:00
20,Ross Stores Inc. stock underperforms Wednesday when compared to competitors despite daily gains,86,2023-04-19 10:22:00
22,Ross Stores Inc. stock underperforms Tuesday when compared to competitors,86,2023-04-18 10:21:00
23,Multiple Headwinds Impacted Ross Stores (ROST) in Q1,86,2023-04-18 04:28:57
24,Ross Stores Inc. stock outperforms competitors on strong trading day,86,2023-04-14 10:21:00
25,"Electronics, department stores lead declines in weak retail sales report",86,2023-04-14 01:32:00
26,Ross Stores Inc. stock underperforms Wednesday when compared to competitors,86,2023-04-12 10:21:00
27,"Ross Stores Inc. stock rises Monday, outperforms market",86,2023-04-10 10:21:00
28,Here's What's Concerning About Ross Stores' (NASDAQ:ROST) Returns On Capital,86,2023-04-10 07:32:36
29,"Ross Stores Inc. stock falls Thursday, underperforms market",86,2023-04-06 10:21:00
30,Solid Results Pushed Ross Stores (ROST) Stock in Q4,86,2023-04-03 03:00:37
31,Ross Stores price target raised to $124 from $123 at JPMorgan,86,2023-04-02 23:25:00
33,Why Is Ross Stores (ROST) Down 7.4% Since Last Earnings Report?,86,2023-03-30 08:30:03
34,Ross Stores: Expect Growth To Accelerate In 2H23,86,2023-03-29 23:17:57
35,UBS Downgrades Ross Stores (ROST),90,2023-03-29 21:16:42
37,Here's Why Ross Stores (ROST) is Marching Ahead of Its Industry,86,2023-03-29 08:47:03
40,"Video: Nasdaq 100 Movers: ROST, LULU",60,2023-03-29 04:42:00
41,"Hot Stocks: PAYX rises on earnings; MPW climb on property divestiture; NIO, XPEV and RIVN soar; URBN, FL and ROST dips on UBS downgrade",57,2023-03-29 04:26:00
42,What You Missed On Wall Street This Morning,51,2023-03-29 04:15:00
44,Ross Stores downgraded to Sell at UBS on softlines bearishness,86,2023-03-29 00:40:00
46,Ross Stores downgraded to Sell from Neutral at UBS,86,2023-03-28 22:19:00
48,"Ross Stores Inc. stock rises Tuesday, outperforms market",86,2023-03-28 10:21:00
49,"Ross Stores annual profit, sales down; quarterly dividend payment up",86,2023-03-27 23:55:00
50,Ross Stores: No Discounts For Investors,86,2023-03-25 20:55:00
51,"Ross Stores Inc. stock falls Friday, underperforms market",86,2023-03-24 10:21:00
52,Loop Capital Upgrades Ross Stores (ROST),86,2023-03-23 05:43:48
53,"Ross Stores Inc. stock falls Wednesday, still outperforms market",86,2023-03-22 10:21:00
55,"Street Wrap: Today`s Top 15 Upgrades, Downgrades, Initiations",51,2023-03-22 04:58:00
57,Ross Stores raised to Buy as Loop sees strong 2023 sales,86,2023-03-22 00:15:00
58,"Loop upgrades Ross Stores to Buy on steady spending, conservative outlook",86,2023-03-21 23:24:00
59,Ross Stores upgraded to Buy from Hold at Loop Capital,86,2023-03-21 22:49:00
61,"Ross Stores Inc. stock rises Tuesday, still underperforms market",86,2023-03-14 10:22:00
62,Ross Stores Inc. stock underperforms Monday when compared to competitors,86,2023-03-13 10:22:00
64,"Ross Stores Inc. stock falls Friday, still outperforms market",86,2023-03-10 09:21:00
65,Ross Stores goes ex-dividend on Monday,86,2023-03-10 03:33:00
66,"What an IPO by Shein, the Chinese Retailer, Could Mean for Stores in the U.S.",86,2023-03-09 08:08:00
67,"Ex-Dividend Reminder: Ross Stores, Camping World Holdings and Lpl Financial Holdings",86,2023-03-09 01:03:00
68,Stocks most susceptible to a stronger Wealth Effect - BofA,51,2023-03-08 22:59:00
71,ROSS STORES OPENS 19 NEW LOCATIONS,86,2023-03-06 05:30:00
72,Citigroup Sticks to Its Buy Rating for Ross Stores (ROST),86,2023-03-06 04:45:00
