,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),RRC,0.207,214.422,0.458,0.546
Total cash(figures in $M),RRC,0.207,214.422,0.458,0.546
Net receivables(figures in $M),RRC,481.05,471.775,252.642,272.9
Other current assets(figures in $M),RRC,32.905,0.0,13.408,17.508
Total current assets(figures in $M),RRC,538.662,730.927,266.508,290.954
"Gross property, plant and equipment(figures in $M)",RRC,5976.908,5798.982,5754.551,6108.463
Accumulated depreciation(figures in $M),RRC,-4837.679,-4492.098,-4140.022,-4269.41
"Net property, plant and equipment(figures in $M)",RRC,5976.908,5798.982,5754.551,6108.463
Other long-term assets(figures in $M),RRC,68.077,86.259,75.865,75.432
Total non-current assets(figures in $M),RRC,6086.9,5929.58,5870.428,6321.449
Total assets(figures in $M),RRC,6625.562,6660.507,6136.936,6612.403
Current debt(figures in $M),RRC,0.0,218.017,45.356,0.0
Accounts payable(figures in $M),RRC,206.738,178.413,132.421,155.341
Accrued liabilities(figures in $M),RRC,482.06,496.838,403.075,395.691
Other current liabilities(figures in $M),RRC,1168.752,253.887,119.3,13.119
Total current liabilities(figures in $M),RRC,1168.752,984.388,673.445,551.032
Long-term debt(figures in $M),RRC,1841.96,2707.77,3040.252,3172.937
Deferred tax liabilities(figures in $M),RRC,333.571,117.642,135.267,160.196
Other long-term liabilities(figures in $M),RRC,112.981,325.279,391.502,0.0
Total non-current liabilities(figures in $M),RRC,2580.804,3590.456,3825.956,3713.883
Total liabilities(figures in $M),RRC,3749.556,4574.844,4499.401,4264.915
Common stock(figures in $M),RRC,3305.198,2115.82,1668.146,0.0
Retained earnings(figures in $M),RRC,-2462.401,-3607.055,1668.146,2355.512
Accumulated other comprehensive income(figures in $M),RRC,0.467,-0.15,-0.479,-0.788
Total stockholders' equity(figures in $M),RRC,2876.006,2085.663,1637.535,2347.488
Total liabilities and stockholders' equity(figures in $M),RRC,6625.562,6660.507,6136.936,6612.403
