,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),RRC,5335.309,5335.309,3580.439,1780.986,2600.934
Cost of revenue(figures in $M),RRC,2107.695,2107.695,2010.916,1787.91,2282.275
Gross profit(figures in $M),RRC,3227.614,3227.614,1569.523,-6.924,318.659
Selling general and administrative(figures in $M),RRC,168.085,166.305,160.681,156.764,172.755
Total operating expenses(figures in $M),RRC,230.224,228.444,184.236,189.418,209.438
Operating income or loss(figures in $M),RRC,2997.39,2999.17,1385.287,-196.342,109.221
Interest expense(figures in $M),RRC,165.145,156.862,218.043,184.201,186.916
Total other income/expenses net(figures in $M),RRC,-1418.415,-1420.195,-755.916,-348.32,-2131.524
Income before tax(figures in $M),RRC,1413.83,1413.83,402.035,-737.329,-2216.588
Income tax expense(figures in $M),RRC,230.46,230.46,-9.743,-25.552,-500.291
Income from continuing operations(figures in $M),RRC,1183.37,1183.37,411.778,-711.777,-1716.297
Net income(figures in $M),RRC,1183.37,1183.37,411.778,-711.777,-1716.297
Net income available to common shareholders(figures in $M),RRC,1154.792,1183.37,411.778,-711.777,-1716.297
Basic EPS(figures in $M),RRC,,4.79e-06,1.6499999999999999e-06,-2.95e-06,-6.92e-06
Diluted EPS(figures in $M),RRC,,4.69e-06,1.61e-06,-2.95e-06,-6.92e-06
Basic average shares(figures in $M),RRC,,240.858,242.862,241.373,247.97
Diluted average shares(figures in $M),RRC,,246.379,249.314,241.373,247.97
EBITDA(figures in $M),RRC,,1924.112,984.633,-78.955,-385.206
