,ticker,2023,2024,2025,2026,2027
Revenue(In $M),RSG,"14,848","15,699","16,656","18,054","19,093"
Dividend,RSG,2.03,2.14,2.26,-,-
Dividend Yield (in %),RSG,1.53 %,1.62 %,1.71 %,-,-
EPS,RSG,5.27,5.86,6.62,7.23,7.75
P/E Ratio,RSG,27.69,24.91,22.03,20.18,18.83
EBIT(In $M),RSG,"2,748","2,969","3,213",-,-
EBITDA(In $M),RSG,"4,318","4,634","4,946","5,430","5,745"
Net Profit(In $M),RSG,"1,662","1,842","2,048","2,291","2,457"
Net Profit Adjusted(In $M),RSG,"1,668","1,851","2,070","2,291","2,457"
Pre-Tax Profit(In $M),RSG,"2,122","2,380","2,607","2,864","3,071"
Net Profit (Adjusted)(In $M),RSG,"2,088","2,311","2,517",-,-
EPS (Non-GAAP) ex. SOE(In $),RSG,5.27,5.86,6.62,7.23,7.75
EPS (GAAP)(In $),RSG,5.18,5.85,6.51,7.23,7.75
Gross Income(In $M),RSG,"5,882","6,244","6,580",-,-
Cash Flow from Investing(In $M),RSG,"-2,036","-1,904",-,-,-
Cash Flow from Operations(In $M),RSG,"3,458","3,690","4,040","4,348","4,618"
Cash Flow from Financing(In $M),RSG,-812,"-1,034",-,-,-
Cash Flow per Share(In $),RSG,10.45,11.09,13.08,-,-
Free Cash Flow(In $M),RSG,"1,881","2,029","2,179","2,292","2,442"
Free Cash Flow per Share(In $),RSG,5.88,6.49,7.19,-,-
Book Value per Share(In $),RSG,34.45,37.11,39.26,-,-
Net Debt(In $M),RSG,"11,236","10,664","10,433","7,388","5,981"
Research & Development Exp.(In $M),RSG,-,-,-,-,-
Capital Expenditure(In $M),RSG,"1,642","1,696","1,887","2,076","2,196"
"Selling, General & Admin. Exp.(In $M)",RSG,"1,550","1,625","1,696",-,-
Shareholder’s Equity(In $M),RSG,"10,545","11,343","11,794",-,-
Total Assets(In $M),RSG,"30,040","31,360",-,-,-
