,ticker,ttm,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total revenue(figures in $M),SBUX,32913.8,32250.3,29060.6,23518.0,26508.6
Cost of revenue(figures in $M),SBUX,24427.8,23879.2,20669.6,18458.9,19020.5
Gross profit(figures in $M),SBUX,8486.0,8371.1,8391.0,5059.1,7488.1
Selling general and administrative(figures in $M),SBUX,2087.1,2032.0,1932.6,1679.6,1824.1
Total operating expenses(figures in $M),SBUX,3985.2,3941.4,3733.8,3541.2,3572.4
Operating income or loss(figures in $M),SBUX,4500.8,4429.7,4657.2,1517.9,3915.7
Interest expense(figures in $M),SBUX,497.2,482.9,469.8,437.0,331.0
Total other income/expenses net(figures in $M),SBUX,192.3,188.1,1079.4,43.8,785.0
Income before tax(figures in $M),SBUX,4304.5,4231.9,5356.9,1164.4,4466.2
Income tax expense(figures in $M),SBUX,982.0,948.5,1156.6,239.7,871.6
Income from continuing operations(figures in $M),SBUX,3322.5,3283.4,4200.3,924.7,3594.6
Net income(figures in $M),SBUX,3320.9,3281.6,4199.3,928.3,3599.2
Net income available to common shareholders(figures in $M),SBUX,3320.9,3281.6,4199.3,928.3,3599.2
Basic EPS(figures in $M),SBUX,,2.8599999999999997e-06,3.5600000000000002e-06,7.900000000000001e-07,3.04e-06
Diluted EPS(figures in $M),SBUX,,2.83e-06,3.54e-06,7.900000000000001e-07,2.92e-06
Basic average shares(figures in $M),SBUX,,1147.9,1180.0,1173.3,1184.6
Diluted average shares(figures in $M),SBUX,,1158.5,1185.5,1181.8,1233.2
EBITDA(figures in $M),SBUX,,6244.2,7350.8,3104.6,6246.5
