,ticker,sentiment
2023-04-05 22:36:29,SEE,0.5267
2023-04-11 06:30:00,SEE,0.2732
2023-04-13 07:24:02,SEE,0.3612
2023-04-21 14:20:36,SEE,0.2263
2023-04-26 06:30:00,SEE,0.0258
2023-04-27 00:48:00,SEE,-0.296
2023-05-01 20:33:00,SEE,-0.296
2023-05-01 23:11:00,SEE,-0.4215
2023-05-02 04:08:00,SEE,0.296
2023-05-02 04:10:00,SEE,-0.296
2023-05-02 05:16:00,SEE,-0.2023
2023-05-02 05:25:12,SEE,-0.34
2023-05-02 12:15:07,SEE,-0.1531
2023-05-02 22:59:00,SEE,-0.128
2023-05-03 08:58:24,SEE,0.25
2023-05-04 00:00:00,SEE,0.4404
2023-05-04 02:00:00,SEE,-0.128
2023-05-04 05:19:00,SEE,-0.2732
