,headline,final_score,datetime
0,"J.M. Smucker Co. stock rises Thursday, outperforms market",86,2023-05-04 10:24:00
1,"J.M. Smucker Co. stock falls Wednesday, underperforms market",86,2023-05-03 10:24:00
3,"J.M. Smucker Co. stock rises Tuesday, outperforms market",86,2023-05-02 10:23:00
5,Post Holdings could pursue more M&A activity - Barclays,86,2023-05-02 03:37:00
6,SJM Crosses Above Average Analyst Target,60,2023-05-01 23:44:00
7,J.M. Smucker reinstated with an Equal Weight at Barclays,86,2023-05-01 20:45:00
9,"J.M. Smucker Co. stock rises Monday, outperforms market",86,2023-05-01 10:22:00
11,Bank of America Securities Sticks to Its Buy Rating for JM Smucker (SJM),86,2023-04-30 22:06:00
12,"J.M. Smucker Co. stock rises Friday, still underperforms market",86,2023-04-28 10:22:00
13,"The J.M. Smucker Co. Completes the Divestiture of Several Pet Food Brands to Post Holdings, Inc.",86,2023-04-28 07:45:00
14,Returns On Capital At J. M. Smucker (NYSE:SJM) Have Stalled,86,2023-04-28 06:53:39
16,J.M. Smucker completes divestiture of several pet food brands to Post Holdings,86,2023-04-28 02:49:00
17,Post Holdings completes acquisition of pet food brands from J.M. Smucker,86,2023-04-28 02:48:00
18,"J.M. Smucker Co. stock rises Thursday, still underperforms market",86,2023-04-27 10:24:00
19,Upcoming Dividend Run For SJM?,60,2023-04-26 05:28:00
22,"J.M. Smucker Co. stock falls Friday, underperforms market",86,2023-04-21 10:23:00
23,Smucker (SJM) Declares $1.02 Dividend,86,2023-04-20 17:46:50
24,J.M. Smucker Co. stock outperforms market despite losses on the day,86,2023-04-20 10:23:00
25,Interesting SJM Put And Call Options For June 16th,60,2023-04-20 03:26:00
26,The J.M. Smucker Co. Declares Dividend and Announces Annual Shareholder Meeting Date,86,2023-04-18 13:30:00
27,"J.M. Smucker Co. stock falls Tuesday, underperforms market",86,2023-04-17 21:24:00
28,J. M. Smucker declares $1.02 dividend,86,2023-04-17 21:02:00
31,"The J. M. Smucker: Historically Strong Performance, But Costly",86,2023-04-16 19:51:48
32,Stifel Reiterates Smucker (SJM) Hold Recommendation,86,2023-04-14 16:29:44
33,"J.M. Smucker Co. stock falls Thursday, underperforms market",86,2023-04-12 21:23:00
34,J.M. Smucker resumed with a Hold at Stifel,86,2023-04-12 20:23:00
35,The J. M. Smucker (SJM) Banks on Pricing Efforts & Strategies,86,2023-04-10 08:16:03
36,"J.M. Smucker Co. stock falls Monday, underperforms market",86,2023-04-09 21:23:00
37,JM Smucker (SJM) Receives a Hold from Jefferies,86,2023-04-08 02:45:00
40,"J.M. Smucker Co. stock rises Wednesday, outperforms market",86,2023-04-05 10:22:00
41,"J.M. Smucker Co. stock rises Monday, still underperforms market",86,2023-04-03 10:22:00
43,First Week of May 19th Options Trading For J.M. Smucker,86,2023-03-31 05:22:00
44,"J.M. Smucker Co. stock rises Wednesday, still underperforms market",86,2023-03-29 10:22:00
47,Argus Research Upgrades Smucker (SJM),86,2023-03-27 17:22:18
48,JM Smucker upgraded to Buy as Argus eyes profit improvements,86,2023-03-27 00:31:00
49,Argus upgrades J.M. Smucker to Buy amid market share gains,86,2023-03-26 23:37:00
50,J.M. Smucker upgraded to Buy from Hold at Argus,86,2023-03-26 23:31:00
51,"J.M. Smucker Co. stock rises Friday, outperforms market",86,2023-03-24 10:22:00
52,Are Investors Undervaluing The J. M. Smucker Company (NYSE:SJM) By 32%?,86,2023-03-23 06:02:37
55,J.M. Smucker price target raised to $159 from $153 at Deutsche Bank,86,2023-03-19 22:04:00
56,First Week of October 20th Options Trading For J.M. Smucker (SJM),86,2023-03-16 02:34:00
57,J.M. Smucker Reaches Analyst Target Price,86,2023-03-16 00:42:00
58,"J.M. Smucker Co. stock rises Tuesday, still underperforms market",86,2023-03-13 21:25:00
60,"J.M. Smucker Co. stock falls Friday, still outperforms market",86,2023-03-10 09:23:00
61,Things Look Grim For The J. M. Smucker Company (NYSE:SJM) After Today's Downgrade,86,2023-03-09 02:16:43
62,"J.M. Smucker Co. stock falls Thursday, still outperforms market",86,2023-03-08 20:24:00
63,The J.M. Smucker Co. to Participate in the BofA Securities 2023 Consumer and Retail Conference,86,2023-03-08 05:00:00
65,The J.M. Smucker Co. Announces Leadership Updates,86,2023-03-07 13:15:00
66,J.M. Smucker names Gail Hollander as Chief Marketing Officer,86,2023-03-06 19:18:00
68,Does The J. M. Smucker Company's (NYSE:SJM) Weak Fundamentals Mean A Downturn In Its Stock Should Be Expected?,86,2023-03-06 02:14:34
