,ticker,2023,2024,2025
Revenue(In $M),SLM,"1,617","1,573","1,691"
Dividend,SLM,0.46,0.50,0.47
Dividend Yield (in %),SLM,3.92 %,4.25 %,2.56 %
EPS,SLM,2.61,2.80,3.03
P/E Ratio,SLM,5.35,4.99,4.60
EBIT(In $M),SLM,948,935,926
EBITDA(In $M),SLM,-,-,-
Net Profit(In $M),SLM,604,561,531
Net Profit Adjusted(In $M),SLM,606,556,536
Pre-Tax Profit(In $M),SLM,815,757,720
Net Profit (Adjusted)(In $M),SLM,832,835,912
EPS (Non-GAAP) ex. SOE(In $),SLM,2.61,2.80,3.03
EPS (GAAP)(In $),SLM,2.66,2.81,3.14
Gross Income(In $M),SLM,-,-,-
Cash Flow from Investing(In $M),SLM,-,-,-
Cash Flow from Operations(In $M),SLM,-,-,-
Cash Flow from Financing(In $M),SLM,-,-,-
Cash Flow per Share(In $),SLM,-,-,-
Free Cash Flow(In $M),SLM,-,-,-
Free Cash Flow per Share(In $),SLM,-,-,-
Book Value per Share(In $),SLM,7.22,8.24,9.69
Net Debt(In $M),SLM,-,-,-
Research & Development Exp.(In $M),SLM,-,-,-
Capital Expenditure(In $M),SLM,-,-,-
"Selling, General & Admin. Exp.(In $M)",SLM,-,-,-
Shareholder’s Equity(In $M),SLM,"1,719","1,699","1,719"
Total Assets(In $M),SLM,"28,520","29,682","34,339"
