,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),SLM,1823.419,1823.419,2027.215,1811.442,1672.242
Interest expense(figures in $M),SLM,542.799,542.799,382.078,541.667,707.717
Income before tax(figures in $M),SLM,630.725,630.725,1540.264,1154.006,743.74
Income tax expense(figures in $M),SLM,161.711,161.711,379.751,273.316,165.464
Income from continuing operations(figures in $M),SLM,469.014,469.014,1160.513,880.69,578.276
Net income(figures in $M),SLM,469.014,469.014,1160.513,880.69,578.276
Net income available to common shareholders(figures in $M),SLM,459.985,459.985,1155.777,870.956,561.439
Basic EPS(figures in $M),SLM,,1.7800000000000001e-06,3.67e-06,2.27e-06,1.31e-06
Diluted EPS(figures in $M),SLM,,1.76e-06,3.6099999999999997e-06,2.25e-06,1.3e-06
Basic average shares(figures in $M),SLM,,258.439,314.993,383.705,427.292
Diluted average shares(figures in $M),SLM,,261.503,319.912,387.195,430.674
