,headline,final_score,datetime
0,Can Sallie Mae (SLM) Run Higher on Rising Earnings Estimates?,86,2023-05-01 09:20:04
1,RBC Capital Sticks to Its Buy Rating for SLM (SLM),86,2023-05-01 01:46:00
2,Citigroup Keeps Their Hold Rating on SLM (SLM),86,2023-04-30 01:15:00
3,Morgan Stanley Maintains SLM (SLM) Overweight Recommendation,86,2023-04-28 12:49:42
4,Wedbush Maintains SLM (SLM) Outperform Recommendation,86,2023-04-27 15:24:57
5,Stephens & Co. Reiterates SLM (SLM) Equal-Weight Recommendation,86,2023-04-27 15:24:57
7,SLM Corp (SLM) Q1 2023 Earnings Call Transcript,90,2023-04-27 07:25:18
8,Sallie Mae (SLM) Stock Gains on Q1 Earnings and NII Beat,86,2023-04-27 06:40:01
9,SLM (SLM) Receives a Hold from Stephens,86,2023-04-27 04:27:00
10,Barclays Sticks to Their Buy Rating for SLM (SLM),86,2023-04-26 23:16:00
11,Wedbush Sticks to Its Buy Rating for SLM (SLM),86,2023-04-26 22:45:00
12,SLM (SLM) Declares $0.11 Dividend,86,2023-04-26 19:47:03
13,Sallie Mae (SLM) Q1 Earnings and Revenues Beat Estimates,86,2023-04-26 15:45:10
19,"SLM backs FY23 EPS view of $2.50-$2.70, consensus $2.56",86,2023-04-25 20:39:00
20,"SLM reports Q1 EPS 47c, consensus 35c",86,2023-04-25 20:38:00
21,Notable companies reporting after market close,56,2023-04-25 18:01:00
26,Analysts Estimate Sallie Mae (SLM) to Report a Decline in Earnings: What to Look Out for,57,2023-04-19 07:01:02
27,"Analysts Offer Insights on Financial Companies: SLM (SLM), Charles Schwab (SCHW) and CrossFirst Bankshares (CFB)",57,2023-04-18 00:41:00
28,JP Morgan Upgrades SLM (SLM),86,2023-04-17 16:52:00
29,"JPMorgan upgrades SLM as credit delinquencies likely peaked, stock gains over 3%",60,2023-04-17 04:05:00
30,SLM upgraded to Overweight from Neutral at JPMorgan,86,2023-04-16 21:06:00
31,Compass Point Upgrades SLM (SLM),86,2023-04-14 14:17:30
32,SLM upgraded to Buy at Compass Point on share buyback prospects,86,2023-04-14 03:59:00
33,RBC Capital Keeps Their Buy Rating on SLM (SLM),86,2023-04-14 01:46:00
34,SLM upgraded to Buy at Compass Point on share buyback expectations,60,2023-04-13 23:49:00
35,SLM upgraded to Buy from Neutral at Compass Point,86,2023-04-13 21:23:00
37,Sallie Mae (SLM) Upgraded to Buy: Here's What You Should Know,86,2023-04-12 09:00:04
38,"Zacks Industry Outlook Highlights Credit Acceptance, SLM and Navient",60,2023-04-11 06:06:01
39,Wall Street Analysts Think Sallie Mae (SLM) Could Surge 36.33%: Read This Before Placing a Bet,57,2023-04-10 06:55:01
41,"SLM (NASDAQ:SLM) jumps 5.7% this week, though earnings growth is still tracking behind three-year shareholder returns",60,2023-04-07 04:48:13
43,Morgan Stanley Upgrades SLM (SLM),86,2023-04-05 13:47:57
45,SLM stock gains after double upgrade to Overweight at Morgan Stanley,60,2023-04-05 02:26:00
46,Morgan Stanley double upgrades SLM for recent improvement in credit,60,2023-04-04 22:35:00
47,SLM upgraded to Overweight from Underweight at Morgan Stanley,86,2023-04-04 22:26:00
48,Implied Volatility Surging for Sallie Mae (SLM) Stock Options,86,2023-03-30 10:42:05
52,Loan Origination Growth Aids Sallie Mae (SLM) Despite High Debt,86,2023-03-06 07:33:03
