,ticker,sentiment
2023-04-04 18:38:00,SO,-0.6908
2023-04-06 05:32:00,SO,0.3818
2023-04-06 10:35:00,SO,0.4404
2023-04-13 09:00:00,SO,0.7269
2023-04-13 21:26:59,SO,-0.4588
2023-04-16 01:20:50,SO,0.3818
2023-04-16 18:04:00,SO,0.296
2023-04-16 21:33:00,SO,-0.1779
2023-04-17 08:00:00,SO,0.4215
2023-04-17 11:00:00,SO,0.296
2023-04-17 11:52:49,SO,0.3182
2023-04-17 12:56:07,SO,0.6369
2023-04-18 22:07:15,SO,0.3612
2023-04-19 10:23:00,SO,-0.2584
2023-04-19 20:46:00,SO,0.296
2023-04-20 10:40:00,SO,0.2023
2023-04-20 15:15:10,SO,0.34
2023-04-21 10:06:00,SO,0.0258
2023-04-22 17:22:39,SO,0.7096
2023-04-25 01:47:00,SO,0.2023
2023-04-25 10:23:00,SO,0.3089
2023-04-26 03:11:00,SO,0.6901
2023-04-27 02:31:00,SO,0.3612
2023-04-27 04:34:00,SO,-0.0516
2023-04-27 04:38:41,SO,0.4404
2023-04-27 05:05:12,SO,0.5106
2023-04-27 05:15:00,SO,0.4854
2023-04-27 14:22:18,SO,-0.34
2023-04-28 05:38:21,SO,0.25
2023-05-01 05:03:57,SO,-0.4019
2023-05-01 10:23:00,SO,0.5106
2023-05-02 01:30:00,SO,0.8225
2023-05-03 05:54:15,SO,0.4404
2023-05-04 08:05:00,SO,0.7506
2023-05-04 10:24:00,SO,0.5106
