,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),SUN,25729.0,25729.0,17596.0,10710.0,16596.0
Cost of revenue(figures in $M),SUN,24543.0,24543.0,16423.0,9843.0,15563.0
Gross profit(figures in $M),SUN,1186.0,1186.0,1173.0,867.0,1033.0
Selling general and administrative(figures in $M),SUN,183.0,183.0,168.0,173.0,197.0
Total operating expenses(figures in $M),SUN,521.0,521.0,438.0,448.0,501.0
Operating income or loss(figures in $M),SUN,665.0,665.0,735.0,419.0,532.0
Interest expense(figures in $M),SUN,176.0,182.0,163.0,175.0,173.0
Total other income/expenses net(figures in $M),SUN,18.0,18.0,-18.0,-8.0,-63.0
Income before tax(figures in $M),SUN,501.0,501.0,554.0,236.0,296.0
Income tax expense(figures in $M),SUN,26.0,26.0,30.0,24.0,-17.0
Income from continuing operations(figures in $M),SUN,475.0,475.0,524.0,212.0,313.0
Net income(figures in $M),SUN,397.0,475.0,524.0,212.0,313.0
Net income available to common shareholders(figures in $M),SUN,397.0,475.0,524.0,212.0,313.0
Basic EPS(figures in $M),SUN,,,5.35e-06,1.6299999999999999e-06,2.84e-06
Diluted EPS(figures in $M),SUN,,,5.28e-06,1.61e-06,2.8199999999999997e-06
Basic average shares(figures in $M),SUN,,,83.37,83.062,82.756
Diluted average shares(figures in $M),SUN,,,84.438,83.716,83.552
EBITDA(figures in $M),SUN,,683.0,717.0,411.0,469.0
