,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),SWN,50.0,28.0,13.0,5.0
Total cash(figures in $M),SWN,50.0,28.0,13.0,5.0
Net receivables(figures in $M),SWN,1401.0,1160.0,368.0,345.0
Other current assets(figures in $M),SWN,68.0,42.0,49.0,51.0
Total current assets(figures in $M),SWN,1664.0,1413.0,671.0,679.0
"Gross property, plant and equipment(figures in $M)",SWN,36467.0,34327.0,27947.0,25929.0
Accumulated depreciation(figures in $M),SWN,-25387.0,-24202.0,-23673.0,-20503.0
"Net property, plant and equipment(figures in $M)",SWN,11080.0,10125.0,4274.0,5426.0
Other long-term assets(figures in $M),SWN,110.0,84.0,215.0,205.0
Total non-current assets(figures in $M),SWN,11262.0,10435.0,4489.0,6038.0
Total assets(figures in $M),SWN,12926.0,11848.0,5160.0,6717.0
Current debt(figures in $M),SWN,0.0,206.0,0.0,0.0
Accounts payable(figures in $M),SWN,1835.0,1282.0,573.0,525.0
Accrued liabilities(figures in $M),SWN,86.0,75.0,58.0,51.0
Other current liabilities(figures in $M),SWN,1382.0,1354.0,265.0,179.0
Total current liabilities(figures in $M),SWN,3481.0,3052.0,1012.0,848.0
Long-term debt(figures in $M),SWN,4392.0,5201.0,3150.0,2242.0
Other long-term liabilities(figures in $M),SWN,209.0,251.0,156.0,219.0
Total non-current liabilities(figures in $M),SWN,5121.0,6249.0,3651.0,2623.0
Total liabilities(figures in $M),SWN,8602.0,9301.0,4663.0,3471.0
Common stock(figures in $M),SWN,12.0,12.0,7.0,6.0
Retained earnings(figures in $M),SWN,-2539.0,-4388.0,-4363.0,-1251.0
Accumulated other comprehensive income(figures in $M),SWN,6.0,-25.0,-38.0,-33.0
Total stockholders' equity(figures in $M),SWN,4324.0,2547.0,497.0,3246.0
Total liabilities and stockholders' equity(figures in $M),SWN,12926.0,11848.0,5160.0,6717.0
