,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),SYK,1844.0,2944.0,2943.0,4337.0
Other short-term investments(figures in $M),SYK,84.0,75.0,81.0,88.0
Total cash(figures in $M),SYK,1928.0,3019.0,3024.0,4425.0
Net receivables(figures in $M),SYK,3565.0,3022.0,2701.0,2893.0
Inventory(figures in $M),SYK,3995.0,3314.0,3494.0,3282.0
Other current assets(figures in $M),SYK,787.0,0.0,0.0,0.0
Total current assets(figures in $M),SYK,10275.0,10017.0,9707.0,11360.0
"Gross property, plant and equipment(figures in $M)",SYK,5805.0,5498.0,5182.0,4714.0
Accumulated depreciation(figures in $M),SYK,-2835.0,-2665.0,-2430.0,-2147.0
"Net property, plant and equipment(figures in $M)",SYK,2970.0,2833.0,2752.0,2567.0
Goodwill(figures in $M),SYK,14880.0,12918.0,12778.0,9069.0
Intangible assets(figures in $M),SYK,4885.0,4840.0,5554.0,4227.0
Other long-term assets(figures in $M),SYK,2464.0,2263.0,2009.0,1369.0
Total non-current assets(figures in $M),SYK,26609.0,24614.0,24623.0,18807.0
Total assets(figures in $M),SYK,36884.0,34631.0,34330.0,30167.0
Current debt(figures in $M),SYK,1191.0,7.0,761.0,859.0
Accounts payable(figures in $M),SYK,1413.0,1129.0,810.0,675.0
Taxes payable(figures in $M),SYK,292.0,192.0,207.0,171.0
Accrued liabilities(figures in $M),SYK,1974.0,1866.0,2101.0,1527.0
Total current liabilities(figures in $M),SYK,6303.0,4549.0,5041.0,4400.0
Long-term debt(figures in $M),SYK,11857.0,12472.0,13230.0,10231.0
Other long-term liabilities(figures in $M),SYK,1467.0,1820.0,1985.0,1661.0
Total non-current liabilities(figures in $M),SYK,13965.0,15205.0,16205.0,12960.0
Total liabilities(figures in $M),SYK,20268.0,19754.0,21246.0,17360.0
Common stock(figures in $M),SYK,38.0,38.0,38.0,37.0
Retained earnings(figures in $M),SYK,14765.0,13480.0,12462.0,11748.0
Accumulated other comprehensive income(figures in $M),SYK,-221.0,-531.0,-1157.0,-606.0
Total stockholders' equity(figures in $M),SYK,16616.0,14877.0,13084.0,12807.0
Total liabilities and stockholders' equity(figures in $M),SYK,36884.0,34631.0,34330.0,30167.0
