,ticker,sentiment
2023-04-04 19:00:00,TAP,-0.4215
2023-04-06 04:24:11,TAP,0.3818
2023-04-07 03:10:16,TAP,0.4019
2023-04-11 20:30:00,TAP,-0.34
2023-04-12 09:28:00,TAP,-0.6808
2023-04-12 23:31:00,TAP,-0.4404
2023-04-13 01:22:00,TAP,-0.6808
2023-04-13 11:40:41,TAP,-0.6249
2023-04-14 02:47:40,TAP,-0.25
2023-04-14 05:51:00,TAP,-0.0516
2023-04-17 09:07:00,TAP,0.4939
2023-04-20 04:32:00,TAP,0.5719
2023-04-20 05:59:12,TAP,0.7964
2023-04-21 05:01:00,TAP,0.296
2023-04-21 09:30:00,TAP,-0.4939
2023-04-22 05:39:00,TAP,-0.0516
2023-04-23 08:11:00,TAP,-0.3612
2023-04-27 06:00:00,TAP,-0.2808
2023-04-28 06:00:09,TAP,0.5719
2023-05-01 06:00:00,TAP,0.5106
2023-05-01 17:42:31,TAP,0.2263
2023-05-01 18:29:00,TAP,0.7184
2023-05-01 19:28:00,TAP,0.4404
2023-05-01 22:08:00,TAP,-0.4215
2023-05-01 23:14:00,TAP,0.0516
2023-05-01 23:28:00,TAP,0.4404
2023-05-02 00:26:00,TAP,0.4404
2023-05-02 04:10:00,TAP,-0.296
2023-05-02 04:41:31,TAP,-0.1027
2023-05-02 05:10:00,TAP,0.4404
2023-05-02 05:27:00,TAP,0.5106
2023-05-02 12:59:07,TAP,0.3612
2023-05-02 22:25:00,TAP,0.296
2023-05-02 23:17:04,TAP,-0.4588
2023-05-03 00:01:00,TAP,-0.3291
2023-05-03 03:28:00,TAP,0.3089
2023-05-03 03:32:59,TAP,0.368
2023-05-03 04:27:00,TAP,0.3089
2023-05-03 09:18:00,TAP,0.4939
2023-05-03 19:09:56,TAP,0.4404
2023-05-04 04:45:00,TAP,-0.4215
