,2022,2021,2020,2019,2018,ticker
Current ratio,1.021,1.071,1.097,1.146,1.415,TDC
Quick ratio,0.927,0.898,0.903,1.008,1.291,TDC
Cash ratio,0.565,0.573,0.556,0.558,0.709,TDC
Days of sales outstanding,74.017,63.975,65.803,76.498,99.177,TDC
Days of inventory outstanding,4.090,12.982,12.956,11.986,8.981,TDC
Operating cycle,78.106,76.957,78.759,88.484,108.158,TDC
Days of payables outstanding,48.053,33.454,22.338,25.519,45.224,TDC
Cash conversion cycle,30.053,43.503,56.421,62.965,62.934,TDC
Gross profit margin,0.602,0.619,0.555,0.503,0.474,TDC
Operating profit margin,0.066,0.121,0.009,0.003,0.020,TDC
Pretax profit margin,0.037,0.100,-0.013,-0.009,0.012,TDC
Net profit margin,0.018,0.077,0.070,-0.013,0.014,TDC
Effective tax rate,0.507,0.234,6.375,-0.412,-0.111,TDC
Return on assets,0.016,0.068,0.059,-0.012,0.013,TDC
Return on equity,0.128,0.320,0.323,-0.092,0.061,TDC
Return on capital employed,0.116,0.203,0.013,0.005,0.032,TDC
Net income per EBT,0.493,0.766,-5.375,1.412,1.111,TDC
Ebt per ebit,0.568,0.831,-1.500,-2.833,0.628,TDC
Ebit per revenue,0.066,0.121,0.009,0.003,0.020,TDC
Debt ratio,0.872,0.788,0.818,0.873,0.790,TDC
Debt equity ratio,2.469,1.243,1.607,2.546,1.099,TDC
Long term debt to capitalization,0.685,0.462,0.560,0.684,0.506,TDC
Total debt to capitalization,0.712,0.554,0.616,0.718,0.524,TDC
Interest coverage,4.917,8.885,0.593,0.231,1.955,TDC
Cash flow to debt ratio,0.658,0.809,0.415,0.222,0.669,TDC
Company equity multiplier,7.837,4.715,5.482,7.851,4.768,TDC
Receivables turnover,4.931,5.705,5.547,4.771,3.680,TDC
Payables turnover,7.596,10.910,16.340,14.303,8.071,TDC
Inventory turnover,89.250,28.115,28.172,30.452,40.643,TDC
Fixed asset turnover,6.984,6.105,4.870,4.736,7.336,TDC
Asset turnover,0.888,0.884,0.837,0.923,0.917,TDC
Operating cash flow per share,4.060,4.263,2.443,1.296,3.054,TDC
Free cash flow per share,3.905,3.978,1.976,0.779,1.711,TDC
Cash per share,5.514,5.451,4.840,4.326,5.998,TDC
Payout ratio,0,0,0,0,0,TDC
Operating cash flow sales ratio,0.233,0.242,0.145,0.078,0.168,TDC
Free cash flow operating cash flow ratio,0.962,0.933,0.809,0.601,0.560,TDC
Cash flow coverage ratios,0.658,0.809,0.415,0.222,0.669,TDC
Short term coverage ratios,5.587,2.616,1.993,1.480,10.111,TDC
Capital expenditure coverage ratio,-26.188,-14.935,-5.235,-2.508,-2.275,TDC
Dividend paid and capex coverage ratio,-26.188,-14.935,-5.235,-2.508,-2.275,TDC
Dividend payout ratio,0,0,0,0,0,TDC
Price book value ratio,13.464,10.027,6.140,11.668,9.237,TDC
Price to book ratio,13.464,10.027,6.140,11.668,9.237,TDC
Price to sales ratio,1.935,2.406,1.338,1.610,2.113,TDC
Price earnings ratio,105.264,31.376,19.039,-127.381,152.417,TDC
Price to free cash flows ratio,8.620,10.676,11.370,34.350,22.414,TDC
Price to operating cash flows ratio,8.290,9.962,9.198,20.656,12.562,TDC
Price cash flow ratio,8.290,9.962,9.198,20.656,12.562,TDC
Price earnings to growth ratio,-1.380,2.178,0.029,0.692,1.036,TDC
Price sales ratio,1.935,2.406,1.338,1.610,2.113,TDC
Dividend yield,0,0,0,0,0,TDC
Enterprise value multiple,14.054,12.085,13.670,20.706,24.589,TDC
Price fair value,13.464,10.027,6.140,11.668,9.237,TDC
