,ticker,sentiment
2023-04-04 21:25:00,TGT,0.0258
2023-04-05 11:53:43,TGT,-0.4588
2023-04-06 05:32:00,TGT,0.3818
2023-04-06 07:13:15,TGT,-0.4939
2023-04-07 01:21:00,TGT,-0.2023
2023-04-08 02:30:00,TGT,0.4404
2023-04-09 07:00:00,TGT,0.3818
2023-04-10 21:27:00,TGT,0.5106
2023-04-12 14:08:00,TGT,-0.4019
2023-04-12 23:34:00,TGT,-0.4215
2023-04-13 04:00:00,TGT,-0.3818
2023-04-13 05:00:00,TGT,0.3612
2023-04-14 01:32:00,TGT,-0.4404
2023-04-17 06:28:58,TGT,0.4939
2023-04-17 12:19:35,TGT,0.6369
2023-04-18 03:15:46,TGT,-0.1901
2023-04-18 05:37:04,TGT,-0.0772
2023-04-18 10:26:00,TGT,0.3089
2023-04-19 18:37:00,TGT,-0.1779
2023-04-20 05:43:00,TGT,0.6369
2023-04-21 01:40:00,TGT,0.4576
2023-04-21 05:40:17,TGT,0.6361
2023-04-21 06:00:00,TGT,0.7717
2023-04-21 06:00:26,TGT,-0.2263
2023-04-21 12:17:44,TGT,-0.3818
2023-04-22 23:36:04,TGT,-0.5106
2023-04-23 18:23:00,TGT,0.296
2023-04-23 18:55:00,TGT,0.4588
2023-04-23 19:48:00,TGT,0.4588
2023-04-24 00:39:00,TGT,0.5574
2023-04-24 01:26:00,TGT,0.296
2023-04-24 02:56:00,TGT,0.4215
2023-04-24 04:02:07,TGT,0.6369
2023-04-24 06:38:21,TGT,0.5267
2023-04-24 07:11:00,TGT,-0.5106
2023-04-24 08:46:00,TGT,0.4588
2023-04-24 08:50:03,TGT,0.25
2023-04-24 09:49:00,TGT,0.5719
2023-04-24 10:26:00,TGT,0.5106
2023-04-25 03:53:00,TGT,0.34
2023-04-25 13:01:29,TGT,0.6369
2023-04-26 00:48:00,TGT,0.34
2023-04-26 06:42:07,TGT,0.25
2023-04-26 09:30:00,TGT,0.4404
2023-04-27 05:27:00,TGT,0.743
2023-04-27 06:26:00,TGT,0.1779
2023-04-27 18:00:00,TGT,-0.2183
2023-04-28 01:40:00,TGT,0.4576
2023-04-28 05:00:37,TGT,0.5719
2023-04-28 11:00:00,TGT,0.2023
2023-04-29 04:00:15,TGT,0.296
2023-04-29 22:33:00,TGT,0.3818
2023-04-30 00:01:00,TGT,0.2023
2023-04-30 04:00:00,TGT,0.6369
2023-04-30 23:31:00,TGT,0.5859
2023-05-02 03:00:29,TGT,0.5106
2023-05-02 03:49:00,TGT,0.2023
2023-05-03 03:18:00,TGT,0.0258
2023-05-03 11:00:04,TGT,0.6369
2023-05-03 14:40:40,TGT,0.5859
2023-05-05 01:40:00,TGT,0.4576
