,2022,2021,2020,2019,2018,ticker
Current ratio,1.336,1.385,1.475,1.208,1.202,THC
Quick ratio,0.849,1.005,1.060,0.717,0.785,THC
Cash ratio,0.192,0.463,0.505,0.062,0.107,THC
Days of sales outstanding,56.024,51.889,55.681,54.378,52.140,THC
Days of inventory outstanding,45.165,42.115,45.044,37.013,37.059,THC
Operating cycle,101.189,94.004,100.725,91.391,89.199,THC
Days of payables outstanding,167.724,142.578,147.738,143.755,146.656,THC
Cash conversion cycle,-66.535,-48.574,-47.013,-52.364,-57.457,THC
Gross profit margin,0.829,0.829,0.831,0.835,0.836,THC
Operating profit margin,0.122,0.147,0.113,0.082,0.090,THC
Pretax profit margin,0.070,0.097,0.038,0.016,0.035,THC
Net profit margin,0.052,0.076,0.044,0.008,0.025,THC
Effective tax rate,0.256,0.218,-0.145,0.517,0.275,THC
Return on assets,0.037,0.054,0.028,0.006,0.021,THC
Return on equity,0.876,1.437,27.429,-0.385,-3.891,THC
Return on capital employed,0.103,0.128,0.089,0.079,0.089,THC
Net income per EBT,0.744,0.782,1.145,0.483,0.725,THC
Ebt per ebit,0.576,0.658,0.337,0.196,0.388,THC
Ebit per revenue,0.122,0.147,0.113,0.082,0.090,THC
Debt ratio,0.830,0.846,0.893,0.915,0.906,THC
Debt equity ratio,13.204,15.220,561.393,-39.760,-124.588,THC
Long term debt to capitalization,0.929,0.938,0.998,1.026,1.008,THC
Total debt to capitalization,0.930,0.938,0.998,1.026,1.008,THC
Interest coverage,2.621,3.111,1.983,1.536,1.640,THC
Cash flow to debt ratio,0.072,0.100,0.217,0.084,0.071,THC
Company equity multiplier,23.779,26.828,968.071,-62.941,-188.311,THC
Receivables turnover,6.515,7.034,6.555,6.712,7.000,THC
Payables turnover,2.176,2.560,2.471,2.539,2.489,THC
Inventory turnover,8.081,8.667,8.103,9.861,9.849,THC
Fixed asset turnover,2.967,3.032,2.636,2.687,2.562,THC
Asset turnover,0.706,0.707,0.651,0.791,0.817,THC
Operating cash flow per share,10.128,14.677,32.445,11.925,10.273,THC
Free cash flow per share,3.002,8.518,27.302,5.445,4.231,THC
Cash per share,8.024,22.128,23.293,2.534,4.025,THC
Payout ratio,0,0,0,0,0,THC
Operating cash flow sales ratio,0.056,0.080,0.193,0.067,0.057,THC
Free cash flow operating cash flow ratio,0.296,0.580,0.842,0.457,0.412,THC
Cash flow coverage ratios,0.072,0.100,0.217,0.084,0.071,THC
Short term coverage ratios,7.469,11.615,23.497,7.211,5.764,THC
Capital expenditure coverage ratio,-1.421,-2.383,-6.309,-1.840,-1.700,THC
Dividend paid and capex coverage ratio,-1.421,-2.383,-6.309,-1.840,-1.700,THC
Dividend payout ratio,0,0,0,0,0,THC
Price book value ratio,4.568,8.489,149.752,-10.599,-14.707,THC
Price to book ratio,4.568,8.489,149.752,-10.599,-14.707,THC
Price to sales ratio,0.272,0.448,0.238,0.213,0.096,THC
Price earnings ratio,5.217,5.909,5.460,27.498,3.780,THC
Price to free cash flows ratio,16.253,9.590,1.463,6.984,4.051,THC
Price to operating cash flows ratio,4.817,5.566,1.231,3.189,1.668,THC
Price cash flow ratio,4.817,5.566,1.231,3.189,1.668,THC
Price earnings to growth ratio,-0.161,0.066,0.013,-0.395,0.016,THC
Price sales ratio,0.272,0.448,0.238,0.213,0.096,THC
Dividend yield,0,0,0,0,0,THC
Enterprise value multiple,5.587,6.296,5.515,6.825,6.305,THC
Price fair value,4.568,8.489,149.752,-10.599,-14.707,THC
