,ticker,2023,2024,2025,2026,2027
Revenue(In $M),TMO,"45,309","48,992","52,860","58,349","63,505"
Dividend,TMO,-,-,-,1.90,-
Dividend Yield (in %),TMO,0.24 %,0.25 %,0.26 %,0.34 %,-
EPS,TMO,23.69,26.64,30.21,34.77,40.07
P/E Ratio,TMO,23.19,20.63,18.19,15.80,13.71
EBIT(In $M),TMO,"10,758","11,984","13,198","14,670","16,657"
EBITDA(In $M),TMO,"11,883","13,183","14,458","16,775",-
Net Profit(In $M),TMO,"9,197","10,206","11,337","12,938","14,982"
Net Profit Adjusted(In $M),TMO,"9,197","10,206","11,337","12,938","14,982"
Pre-Tax Profit(In $M),TMO,"10,307","11,533","12,855","14,720","17,337"
Net Profit (Adjusted)(In $M),TMO,"8,722","11,297","12,772","15,068","16,837"
EPS (Non-GAAP) ex. SOE(In $),TMO,23.69,26.64,30.21,34.77,40.07
EPS (GAAP)(In $),TMO,17.97,22.65,26.85,32.41,38.84
Gross Income(In $M),TMO,"19,261","21,201","23,165","25,994","29,847"
Cash Flow from Investing(In $M),TMO,"-4,034","-1,957","-2,054",-,-
Cash Flow from Operations(In $M),TMO,"9,000","10,595","11,529",-,-
Cash Flow from Financing(In $M),TMO,"-3,566","-3,389","-4,952",-,-
Cash Flow per Share(In $),TMO,23.55,27.92,31.79,-,-
Free Cash Flow(In $M),TMO,"7,144","8,741","9,748","12,437",-
Free Cash Flow per Share(In $),TMO,18.15,23.68,26.96,-,-
Book Value per Share(In $),TMO,122.74,129.86,131.31,-,-
Net Debt(In $M),TMO,"24,414","22,879","20,769","-7,602",-
Research & Development Exp.(In $M),TMO,"1,445","1,539","1,621","1,655","1,820"
Capital Expenditure(In $M),TMO,"2,019","1,953","2,041","2,658",-
"Selling, General & Admin. Exp.(In $M)",TMO,"6,856","7,226","7,672","7,997","9,395"
Shareholder’s Equity(In $M),TMO,"47,562","48,724","46,390",-,-
Total Assets(In $M),TMO,"96,864","97,807","100,249",-,-
