,ticker,sentiment
2023-04-05 06:00:35,TMO,0.5106
2023-04-05 08:37:00,TMO,-0.5423
2023-04-05 15:00:10,TMO,0.34
2023-04-06 03:09:00,TMO,-0.296
2023-04-06 04:57:00,TMO,0.6486
2023-04-06 04:58:00,TMO,0.4019
2023-04-06 17:56:14,TMO,0.6486
2023-04-08 20:20:02,TMO,0.7096
2023-04-11 09:43:04,TMO,0.4767
2023-04-11 12:19:00,TMO,0.4019
2023-04-12 03:18:44,TMO,-0.3313
2023-04-13 06:57:30,TMO,0.128
2023-04-13 21:30:00,TMO,0.3818
2023-04-14 01:50:00,TMO,0.2023
2023-04-14 06:00:30,TMO,-0.3612
2023-04-14 08:40:03,TMO,0.6486
2023-04-14 13:29:08,TMO,0.2023
2023-04-17 15:15:10,TMO,0.34
2023-04-18 05:00:30,TMO,0.5267
2023-04-20 02:17:00,TMO,-0.3818
2023-04-20 02:40:00,TMO,-0.4215
2023-04-20 21:30:00,TMO,0.3818
2023-04-21 05:32:00,TMO,0.1779
2023-04-21 08:35:00,TMO,0.5267
2023-04-21 10:26:00,TMO,0.5106
2023-04-21 15:00:10,TMO,0.34
2023-04-23 21:17:00,TMO,0.4939
2023-04-24 09:10:04,TMO,0.25
2023-04-25 01:00:00,TMO,0.6369
2023-04-25 03:14:13,TMO,0.8271
2023-04-25 10:26:00,TMO,0.3089
2023-04-25 23:12:00,TMO,-0.296
2023-04-25 23:26:00,TMO,-0.296
2023-04-25 23:48:00,TMO,-0.4404
2023-04-26 00:58:00,TMO,-0.0516
2023-04-26 01:24:00,TMO,0.6633
2023-04-26 03:06:04,TMO,0.4939
2023-04-26 05:21:00,TMO,-0.2023
2023-04-26 05:32:00,TMO,-0.1111
2023-04-26 07:59:02,TMO,-0.4019
2023-04-26 08:40:41,TMO,-0.4404
2023-04-26 08:43:00,TMO,-0.2023
2023-04-26 08:45:36,TMO,-0.2263
2023-04-26 23:27:00,TMO,-0.128
2023-04-26 23:54:00,TMO,-0.128
2023-04-27 03:16:00,TMO,0.296
2023-04-27 07:00:37,TMO,0.5994
2023-04-27 10:49:55,TMO,0.4215
2023-04-27 11:03:18,TMO,0.4404
2023-04-28 06:55:01,TMO,0.4215
2023-04-28 10:26:00,TMO,-0.2584
2023-04-30 00:01:00,TMO,0.2023
2023-05-01 00:14:57,TMO,-0.4215
2023-05-02 05:00:00,TMO,0.296
2023-05-02 06:01:12,TMO,0.6369
2023-05-02 10:27:00,TMO,0.3089
2023-05-03 05:37:46,TMO,0.6369
2023-05-03 10:27:00,TMO,0.5106
2023-05-04 03:15:00,TMO,0.4019
2023-05-04 09:20:00,TMO,0.4939
