,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),TRIP,1492.0,1492.0,902.0,604.0,1560.0
Cost of revenue(figures in $M),TRIP,116.0,116.0,74.0,55.0,94.0
Gross profit(figures in $M),TRIP,1376.0,1376.0,828.0,549.0,1466.0
Selling general and administrative(figures in $M),TRIP,1178.0,956.0,848.0,709.0,1153.0
Total operating expenses(figures in $M),TRIP,1275.0,1275.0,959.0,834.0,1279.0
Operating income or loss(figures in $M),TRIP,101.0,101.0,-131.0,-285.0,187.0
Interest expense(figures in $M),TRIP,44.0,44.0,45.0,35.0,7.0
Total other income/expenses net(figures in $M),TRIP,-5.0,-5.0,-10.0,-52.0,-3.0
Income before tax(figures in $M),TRIP,67.0,67.0,-185.0,-369.0,194.0
Income tax expense(figures in $M),TRIP,47.0,47.0,-37.0,-80.0,68.0
Income from continuing operations(figures in $M),TRIP,20.0,20.0,-148.0,-289.0,126.0
Net income(figures in $M),TRIP,20.0,20.0,-148.0,-289.0,126.0
Net income available to common shareholders(figures in $M),TRIP,20.0,20.0,-148.0,-289.0,126.0
Basic EPS(figures in $M),TRIP,,1.4e-07,-1.08e-06,-2.1400000000000003e-06,9.100000000000001e-07
Diluted EPS(figures in $M),TRIP,,1.4e-07,-1.08e-06,-2.1400000000000003e-06,8.900000000000001e-07
Basic average shares(figures in $M),TRIP,,140.0,137.0,135.0,139.0
Diluted average shares(figures in $M),TRIP,,146.0,137.0,135.0,141.0
EBITDA(figures in $M),TRIP,,208.0,-29.0,-209.0,327.0
