,2022,2021,2020,2019,2018,ticker
Current ratio,1.532,1.375,1.875,1.135,0.831,TSLA
Quick ratio,1.163,0.996,1.493,0.712,0.464,TSLA
Cash ratio,0.831,0.892,1.360,0.588,0.369,TSLA
Days of sales outstanding,13.227,12.973,21.829,19.662,16.140,TSLA
Days of inventory outstanding,77.319,52.249,60.101,63.215,65.239,TSLA
Operating cycle,90.546,65.222,81.929,82.877,81.379,TSLA
Days of payables outstanding,91.869,90.985,88.678,67.113,71.336,TSLA
Cash conversion cycle,-1.323,-25.762,-6.749,15.765,10.043,TSLA
Gross profit margin,0.256,0.253,0.210,0.166,0.188,TSLA
Operating profit margin,0.168,0.124,0.063,0.007,-0.010,TSLA
Pretax profit margin,0.168,0.118,0.037,-0.027,-0.047,TSLA
Net profit margin,0.154,0.103,0.022,-0.032,-0.050,TSLA
Effective tax rate,0.083,0.110,0.253,-0.165,-0.058,TSLA
Return on assets,0.153,0.089,0.013,-0.023,-0.036,TSLA
Return on equity,0.281,0.183,0.031,-0.117,-0.216,TSLA
Return on capital employed,0.245,0.158,0.053,0.007,-0.010,TSLA
Net income per EBT,0.917,0.870,0.598,1.165,1.058,TSLA
Ebt per ebit,1.005,0.949,0.579,-3.935,4.867,TSLA
Ebit per revenue,0.168,0.124,0.063,0.007,-0.010,TSLA
Debt ratio,0.443,0.492,0.546,0.764,0.788,TSLA
Debt equity ratio,0.069,0.226,0.528,2.028,2.809,TSLA
Long term debt to capitalization,0.034,0.148,0.302,0.637,0.693,TSLA
Total debt to capitalization,0.065,0.185,0.346,0.670,0.737,TSLA
Interest coverage,71.497,18.024,2.666,0.247,-0.311,TSLA
Cash flow to debt ratio,4.751,1.682,0.506,0.179,0.152,TSLA
Company equity multiplier,1.842,2.058,2.346,5.184,6.041,TSLA
Receivables turnover,27.596,28.135,16.721,18.563,22.614,TSLA
Payables turnover,3.973,4.012,4.116,5.439,5.117,TSLA
Inventory turnover,4.721,6.986,6.073,5.774,5.595,TSLA
Fixed asset turnover,2.224,1.726,1.349,1.217,1.090,TSLA
Asset turnover,0.989,0.866,0.605,0.716,0.722,TSLA
Operating cash flow per share,4.704,3.887,2.123,0.904,0.820,TSLA
Free cash flow per share,2.413,1.177,0.965,0.364,-0.087,TSLA
Cash per share,8.983,5.986,6.925,2.356,1.441,TSLA
Payout ratio,0,0,0,0,0,TSLA
Operating cash flow sales ratio,0.181,0.214,0.188,0.098,0.098,TSLA
Free cash flow operating cash flow ratio,0.513,0.303,0.454,0.402,-0.106,TSLA
Cash flow coverage ratios,4.751,1.682,0.506,0.179,0.152,TSLA
Short term coverage ratios,9.803,7.235,2.788,1.347,0.774,TSLA
Capital expenditure coverage ratio,-2.053,-1.435,-1.833,-1.674,-0.904,TSLA
Dividend paid and capex coverage ratio,-2.053,-1.435,-1.833,-1.674,-0.904,TSLA
Dividend payout ratio,0,0,0,0,0,TSLA
Price book value ratio,8.625,34.515,29.624,11.214,11.527,TSLA
Price to book ratio,8.625,34.515,29.624,11.214,11.527,TSLA
Price to sales ratio,4.733,19.359,20.877,3.019,2.644,TSLA
Price earnings ratio,30.641,188.800,954.188,-95.757,-53.408,TSLA
Price to free cash flows ratio,51.053,299.163,243.758,76.665,-255.964,TSLA
Price to operating cash flows ratio,26.185,90.631,110.784,30.857,27.053,TSLA
Price cash flow ratio,26.185,90.631,110.784,30.857,27.053,TSLA
Price earnings to growth ratio,0.267,0.291,5.124,-3.094,-1.001,TSLA
Price sales ratio,4.733,19.359,20.877,3.019,2.644,TSLA
Dividend yield,0,0,0,0,0,TSLA
Enterprise value multiple,20.550,107.444,154.059,35.025,39.474,TSLA
Price fair value,8.625,34.515,29.624,11.214,11.527,TSLA
