,headline,final_score,datetime
0,South Korean President Yoon meets with Tesla's Elon Musk -Yonhap,86,2023-04-26 15:44:10
1, South Korea's Yoon met with Tesla CEO Elon Musk -Yonhap,86,2023-04-26 14:23:45
3,"Tesla broke U.S. labor law by silencing workers, official rules",86,2023-04-26 07:53:17
4,Tesla: The Ball Is In Its Court,86,2023-04-26 05:45:00
5,Jefferies Downgrades Tesla (TSLA),90,2023-04-26 05:19:21
7,Tesla: Betting Against The EV Alpha In The Near Term,86,2023-04-26 01:45:00
8,BUZZ Investing: Stock Gains Mask Increasing Volatility And Narrowing Breadth,51,2023-04-25 21:19:00
12,Tesla Should Consider Buying Ads. It Could Help the Stock.,86,2023-04-25 10:52:00
13,"Tesla Inc. stock falls Tuesday, still outperforms market",86,2023-04-25 09:32:00
14,Tesla: Treat It As A Cyclical Business That Could Fall Farther Off Its Highs,86,2023-04-25 09:14:32
15,TSLA Stock Alert: Does Tesla Need a New CEO?,86,2023-04-25 04:50:00
16,"Cathie Wood Boosts Coinbase, Tesla Holdings, Cuts Back Exact Sciences",86,2023-04-25 04:16:00
19,Tesla: 2 Prominent Bulls Slashed Their ETF Holdings,86,2023-04-25 03:00:00
20,TSLA Slips as Analyst Believes More Price Cuts are Coming,60,2023-04-25 02:43:00
21,Tesla: Company Risk If They Don't Slow Factory Growth,86,2023-04-25 02:30:00
22,"Keep on Buying Tesla Stock, Says Morgan Stanley",86,2023-04-25 02:29:00
23,Morgan Stanley Sticks to Its Buy Rating for Tesla (TSLA),86,2023-04-25 02:25:00
26,Tesla FSD 11.3.6 Beta: Safer And Smoother But Work Remains,86,2023-04-25 02:00:00
27,Tesla Faces One Key Business Problem to Solve Soon,86,2023-04-25 01:58:51
30,Tesla: Company Risk If They Don`t Slow Factory Growth,86,2023-04-25 01:32:00
34,Tesla could be forced to cut prices further - Bernstein,86,2023-04-24 23:53:00
38,"Bernstein sees further Tesla price cuts in China, likely Europe",86,2023-04-24 22:16:00
40,Tesla (NASDAQ:TSLA) Investors Seek a Fair Board,86,2023-04-24 19:06:00
41,"Only 10 carmakers will survive global EV battle, says Tesla rival Xpeng",86,2023-04-24 18:56:58
44,LCID Stock Alert: Lucid Gravity SUV Hits the Roads for Testing,51,2023-04-24 18:35:00
45,"Tesla: the problem is Musk’s multitasking, not his stake",86,2023-04-24 17:42:14
46,General Motors is set to report earnings before the bell. Here's what Wall Street expects,58,2023-04-24 17:01:01
47,What Should Investors Do with Tesla Stock Following Q1 Earnings?,86,2023-04-24 14:28:09
48,"Tesla investors are worried Elon Musk enjoys operating ""above the law""",86,2023-04-24 14:10:00
50,"Tesla ‘still way ahead of the competition’ despite price cuts, strategist says",86,2023-04-24 13:32:34
51,GM earnings preview; Tesla raises 2023 capital expenditure forecast,86,2023-04-24 13:25:06
52,Tesla Ecosystem - Best In Class,86,2023-04-24 13:11:38
53,Tesla Just Made This Unknown Family $1.2 Billion,86,2023-04-24 13:06:57
54,Tesla Set To Ship China-Made Model Y To Canada; TSLA Stock Keeps Falling,86,2023-04-24 13:02:10
