,ticker,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Cash and cash equivalents(figures in $M),TSN,1031.0,2507.0,1420.0,484.0
Total cash(figures in $M),TSN,1031.0,2507.0,1420.0,484.0
Net receivables(figures in $M),TSN,2577.0,2400.0,1952.0,2173.0
Inventory(figures in $M),TSN,5514.0,4382.0,4144.0,4108.0
Other current assets(figures in $M),TSN,508.0,533.0,367.0,404.0
Total current assets(figures in $M),TSN,9630.0,9822.0,7883.0,7169.0
"Gross property, plant and equipment(figures in $M)",TSN,17893.0,16516.0,15581.0,14650.0
Accumulated depreciation(figures in $M),TSN,-9208.0,-8679.0,-7985.0,-7368.0
"Net property, plant and equipment(figures in $M)",TSN,8685.0,7837.0,7596.0,7282.0
Goodwill(figures in $M),TSN,10513.0,10549.0,10899.0,10844.0
Intangible assets(figures in $M),TSN,6252.0,6519.0,6774.0,7037.0
Other long-term assets(figures in $M),TSN,1741.0,1582.0,1589.0,765.0
Total non-current assets(figures in $M),TSN,27191.0,26487.0,26858.0,25928.0
Total assets(figures in $M),TSN,36821.0,36309.0,34741.0,33097.0
Current debt(figures in $M),TSN,459.0,1067.0,548.0,2102.0
Accounts payable(figures in $M),TSN,2483.0,2225.0,1876.0,1926.0
Accrued liabilities(figures in $M),TSN,1210.0,1464.0,823.0,620.0
Other current liabilities(figures in $M),TSN,2371.0,3033.0,1810.0,1485.0
Total current liabilities(figures in $M),TSN,5313.0,6325.0,4234.0,5513.0
Long-term debt(figures in $M),TSN,7862.0,8281.0,10791.0,9830.0
Deferred tax liabilities(figures in $M),TSN,2458.0,2195.0,2391.0,2356.0
Other long-term liabilities(figures in $M),TSN,1377.0,1654.0,1728.0,1172.0
Total non-current liabilities(figures in $M),TSN,11697.0,12130.0,14910.0,13358.0
Total liabilities(figures in $M),TSN,17010.0,18455.0,19144.0,18871.0
Common stock(figures in $M),TSN,45.0,45.0,45.0,45.0
Retained earnings(figures in $M),TSN,20084.0,17502.0,15311.0,13787.0
Accumulated other comprehensive income(figures in $M),TSN,-297.0,-172.0,-179.0,-117.0
Total stockholders' equity(figures in $M),TSN,19702.0,17723.0,15465.0,14082.0
Total liabilities and stockholders' equity(figures in $M),TSN,36821.0,36309.0,34741.0,33097.0
